BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20230703,105190,ACE 200,34660,505,1.48,34713.41,34285,34690,34285,84942,2935646410,455779000000,456481305660,13150000,코스피 200,343.08,5.13,1.52
20230703,332500,ACE 200TR,21935,275,1.27,21977.24,21660,21970,21660,48718,1069122120,32902500000,32965859432,1500000,코스피 200 TR,429.38,6.42,1.52
20230703,448870,ACE 23-12 회사채(AA-이상)액티브,104035,15,0.01,104036.20,104030,104055,104030,93184,9693988820,175507045000,175509075442,1687000,KIS 크레딧 2312만기형 총수익지수,109.19,0.01,0.01
20230703,448880,ACE 24-12 회사채(AA-이상)액티브,105965,50,0.05,105959.22,105900,105965,105900,55526,5881710195,151741880000,151733596632,1432000,KIS 크레딧 2412만기형 총수익지수,107.28,0.09,0.08
20230703,461260,ACE 25-06 회사채(AA-이상)액티브,10030,10,0.10,10022.74,10020,10030,10020,8199,82225275,50250300000,52218497312,5010000,KIS 크레딧 2506만기형(AA-이상)지수(총수익지수),113.34,0.13,0.11
20230703,461270,ACE 26-06 회사채(AA-이상)액티브,10025,10,0.10,10024.42,10015,10025,10010,6819,68324930,53232750000,57239461997,5310000,KIS 크레딧 2606만기형(AA-이상)지수(총수익지수),111.12,0.16,0.14
20230703,385600,ACE 2차전지&친환경차액티브,11545,420,3.78,11570.44,11150,11630,11150,84559,970585960,15008500000,15041569947,1300000,FnGuide 친환경 자동차 밸류체인 지수,1755.35,78.81,4.70
20230703,385590,ACE ESG액티브,7630,135,1.80,7658.98,7570,7665,7565,213,1617790,24416000000,24508741788,3200000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1579.69,30.28,1.95
20230703,380340,ACE Fn5G플러스,7855,200,2.61,7838.78,7650,7855,7650,635,4960310,5498500000,5487147730,700000,FnGuide 5G플러스 지수 (시장가격),1568.80,37.68,2.46
20230703,226380,ACE Fn성장소비주도주,5900,35,0.60,5901.42,5885,5905,5870,1095,6450235,5900000000,5901415943,1000000,FnGuide 성장소비주도 지수,1956.36,14.21,0.73
20230703,414270,ACE G2전기차&자율주행액티브,9465,175,1.88,9339.84,9290,9485,9290,83511,787693140,87078000000,85926563178,9200000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,260.78,5.33,2.09
20230703,411060,ACE KRX금현물,11625,-5,-0.04,11579.93,11600,11680,11600,76725,892716050,73237500000,72953547142,6300000,KRX 금현물지수,1900.46,-1.19,-0.06
20230703,225130,ACE 골드선물 레버리지(합성 H),16160,160,1.00,16263.50,16200,16220,16105,3197,51629600,9696000000,9758099178,600000,S&P GSCI GOLD Index Excess Return,134.86,0.00,0.00
20230703,365780,ACE 국고채10년,86970,605,0.70,87056.22,86465,87025,86435,13684,1187496705,101493990000,105773307023,1167000,KIS 10년 국고채 지수 (총수익),14942.37,78.37,0.53
20230703,114460,ACE 국고채3년,101605,310,0.31,101660.97,101305,101615,101305,69,7006730,24385200000,24398632255,240000,KTB INDEX(시장가격),10225.12,18.91,0.19
20230703,299070,ACE 국채선물10년인버스,110430,-630,-0.57,110241.79,0,0,0,0,0,5521500000,5512089664,50000,10년국채선물지수,1189.52,6.71,0.57
20230703,299080,ACE 국채선물3년인버스,107185,-165,-0.15,107135.23,0,0,0,0,0,5359250000,5356761537,50000,국채선물지수,1220.01,2.23,0.18
20230703,411050,ACE 글로벌메타버스테크액티브,8650,-20,-0.23,8734.29,8670,8685,8620,893,7720820,14705000000,14848287371,1700000,Bloomberg Global Digital Media & Tech Select Price Return Index,3081.41,-11.14,-0.36
20230703,446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,15105,170,1.14,15041.22,15100,15145,15045,275570,4160903900,81567000000,81222571997,5400000,Solactive Global Semiconductor TOP4 Plus Price Return Index,2932.11,41.50,1.44
20230703,435040,ACE 글로벌브랜드TOP10블룸버그,12500,-5,-0.04,12484.26,12530,12575,12465,15791,197562040,11875000000,11860051334,950000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),3373.48,35.41,1.06
20230703,440640,ACE 단기채권알파액티브,103010,25,0.02,102993.03,103010,103015,103000,915,94250085,47281590000,47273798569,459000,KIS 단기채권알파AA-이상 총수익지수,111.86,0.02,0.02
20230703,190620,ACE 단기통안채,101915,45,0.04,101899.22,101885,101915,101885,3544976,361265779180,216773205000,216739645299,2127000,KIS MSB 단기지수(총수익),11997.91,1.97,0.02
20230703,265690,ACE 러시아MSCI(합성),9590,0,0.00,43.79,0,0,0,0,0,17741500000,81007781,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
20230703,152500,ACE 레버리지,6990,210,3.10,6992.72,6835,7000,6835,16612,115760925,9786000000,9789808202,1400000,코스피 200,343.08,5.13,1.52
20230703,291130,ACE 멕시코MSCI(합성),14580,0,0.00,14463.67,14620,14620,14580,550,8025505,11664000000,11570936842,800000,MSCI MEXICO IMI 25/50 Price return Index,11059.58,170.25,1.56
20230703,452250,ACE 미국30년국채선물레버리지(합성 H),8605,165,1.95,8580.56,8560,8605,8550,75970,651004370,27536000000,27457791767,3200000,S&P Ultra T-Bond Futures Index(ER),132.10,-0.33,-0.25
