BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20221101,105190,ACE 200,30640,325,1.07,30706.19,30310,30670,30240,5998,183564655,510156000000,508187478339,16650000,코스피 200,303.88,4.30,1.44
20221101,332500,ACE 200TR,19025,205,1.09,19055.43,18820,19035,18795,782,14837340,26635000000,26677596384,1400000,코스피 200 TR,372.22,5.27,1.44
20221101,385590,ACE ESG액티브,6720,145,2.21,6743.64,6675,6720,6675,272,1822400,22176000000,22254001331,3300000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1423.80,28.56,2.05
20221101,380340,ACE Fn5G플러스,6315,15,0.24,6312.12,6270,6315,6245,81,509755,4420500000,4418484748,700000,FnGuide 5G플러스 지수 (시장가격),1263.23,6.39,0.51
20221101,226380,ACE Fn성장소비주도주,5370,65,1.23,5353.98,5315,5370,5315,24,128135,5370000000,5353977979,1000000,FnGuide 성장소비주도 지수,1783.57,16.04,0.91
20221101,414270,ACE G2전기차&자율주행액티브,8915,145,1.65,8792.69,8845,8915,8745,102371,904892770,74886000000,74737889087,8400000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,226.88,4.83,2.18
20221101,411050,ACE 글로벌메타버스테크액티브,6600,20,0.3,6620.52,6750,6750,6545,968,6356630,13200000000,13241040669,2000000,Bloomberg Global Digital Media & Tech Select Price Return Index,2313.09,-11.39,-0.49
20221101,435040,ACE 글로벌브랜드TOP10블룸버그,10495,10,0.1,10537.45,10670,10670,10480,1039954,10941167435,10495000000,10537449647,1000000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),2580.99,3.33,0.13
20221101,265690,ACE 러시아MSCI(합성),10070,0,0.0,517.96,0,0,0,0,0,18629500000,958221886,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
20221101,152500,ACE 레버리지,5470,165,3.11,5475.33,5330,5470,5320,15787,85453750,7658000000,7665461583,1400000,코스피 200,303.88,4.30,1.44
20221101,291130,ACE 멕시코MSCI(합성),12870,285,2.26,12772.35,12705,12870,12595,1614,20576715,10296000000,10217881371,800000,MSCI MEXICO IMI 25/50 Price return Index,10371.04,178.97,1.76
20221101,280320,ACE 미국IT인터넷S&P(합성 H),10710,-35,-0.33,10665.74,10720,10720,10555,277,2962360,8568000000,8532589418,800000,다우존스 인터넷 종합지수,579.88,-6.48,-1.11
20221101,360200,ACE 미국S&P500,13965,-60,-0.43,13880.4,14010,14015,13920,306614,4279540525,529273500000,517738902956,37900000,S&P 500,3856.10,-15.88,-0.41
20221101,438080,ACE 미국S&P500채권혼합액티브,10330,-55,-0.53,10346.33,10365,10400,10300,3392,35071735,8264000000,8277062107,800000,S&P500 and Short-Term Treasury 30/70 Blend Index,152.82,-0.18,-0.12
20221101,309230,ACE 미국WideMoat가치주,18430,-35,-0.19,18298.18,18465,18535,18360,8769,161539255,84778000000,82341802177,4600000,MorningStar Wide Moat Focus Index,9653.27,-73.31,-0.75
20221101,402970,ACE 미국고배당S&P,11460,-40,-0.35,11429.73,11510,11510,11410,295067,3382420805,71052000000,67435407826,6200000,Dow Jones U.S. Dividend 100 Price Return Index,5240.16,14.79,0.28
20221101,367380,ACE 미국나스닥100,12515,-65,-0.52,12414.46,12540,12555,12455,115252,1440665660,416749500000,413401546909,33300000,NASDAQ 100,11288.95,-116.62,-1.02
20221101,438100,ACE 미국나스닥100채권혼합액티브,10140,-40,-0.39,10174.7,10215,10215,10130,605,6132400,8112000000,8139756988,800000,NASDAQ-100 US T-Bills 30/70 Index,1332.06,-4.05,-0.30
20221101,391600,ACE 미국친환경그린테마INDXX,11015,120,1.1,11032.26,11020,11135,11010,12430,137381345,30842000000,30890317931,2800000,Indxx US Green Infrastructure Price return Index,3339.31,7.12,0.21
20221101,245710,ACE 베트남VN30(합성),17000,420,2.53,16949.66,16850,17155,16700,33435,567693390,136000000000,135597298395,8000000,VN30 Index(PR),1038.09,11.25,1.10
20221101,131890,ACE 삼성그룹동일가중,15445,60,0.39,15466.37,15370,15445,15370,420,6466650,7722500000,7733186824,500000,MKF SAMs EW 지수,15453.89,68.15,0.44
20221101,108450,ACE 삼성그룹섹터가중,15215,140,0.93,15257.33,15075,15220,15030,10883,165320290,38037500000,38143335591,2500000,MKF SAMs SW,15179.57,204.55,1.37
20221101,277540,ACE 아시아TOP50S&P,10610,185,1.77,10273.92,10345,10610,10340,336,3488730,17506500000,16951969015,1650000,S&P ASIA50 Price Return Index,3048.13,106.59,3.62
20221101,433500,ACE 원자력테마딥서치,10695,845,8.58,10695.64,10275,10800,10105,189177,1985004935,13903500000,13904331016,1300000,DeepSearch 원자력테마 지수 (시장가격지수),1067.35,85.25,8.68
20221101,256440,ACE 인도네시아MSCI(합성),11400,-100,-0.87,11585.3,11470,11615,10925,27280,310329650,43320000000,44024154934,3800000,MSCI Indonesia Index,7668.77,-47.15,-0.61
20221101,145670,ACE 인버스,6230,-80,-1.27,6226.36,6310,6315,6225,12857,80335460,4984000000,4358451199,800000,코스피 200 선물지수,1536.64,16.18,1.06
20221101,238720,ACE 일본Nikkei225(H),18505,55,0.3,18412.36,18560,18560,18435,3525,64998735,12953500000,12888650253,700000,Nikkei 225,27678.92,91.46,0.33
20221101,196030,ACE 일본TOPIX레버리지(H),20785,295,1.44,20753.73,20705,20845,20675,299,6216690,10392500000,10376865192,500000,TOPIX,1938.50,9.07,0.47
20221101,205720,ACE 일본TOPIX인버스(합성 H),4025,5,0.12,4045.0,4030,4030,4000,4197,16884905,6842500000,6876494663,1700000,TOPIX,1938.50,9.07,0.47
20221101,416090,ACE 중국과창판STAR50,7760,-40,-0.51,8000.8,7505,7820,7505,2246,17237630,7760000000,8000796799,1000000,STAR 50 Index(Price Return),1024.52,14.19,1.40
20221101,168580,ACE 중국본토CSI300,24990,430,1.75,24421.82,24560,24990,24530,2281,56298265,157936800000,149949970472,6320000,CSI 300 Index,3634.17,125.47,3.58
20221101,219900,ACE 중국본토CSI300레버리지(합성),3235,90,2.86,3135.67,3200,3245,3090,14798,46953395,7440500000,7212037264,2300000,CSI 300 Index,3634.17,125.47,3.58
20221101,371870,ACE 차이나항셍테크,4700,240,5.38,4387.34,4320,4700,4320,4416,20499250,4230000000,3948605447,900000,Hang Seng TECH Index,3075.16,222.59,7.80
20221101,385600,ACE 친환경자동차밸류체인액티브,9420,165,1.78,9462.32,9275,9440,9275,6131,57421755,23550000000,23655792568,2500000,FnGuide 친환경 자동차 밸류체인 지수,1410.18,36.19,2.63
20221101,354500,ACE 코스닥150,10050,25,0.25,10124.43,10025,10050,9965,844,8443215,14070000000,14174206059,1400000,코스닥 150,1007.58,0.76,0.08
20221101,305050,ACE 코스피,23825,415,1.77,23864.92,23510,23825,23510,1289,30593650,8338750000,8352721410,350000,코스피,2335.22,41.61,1.81
20221101,261920,ACE 필리핀MSCI(합성),12965,-55,-0.42,12932.43,13015,13015,12955,384,4988125,5186000000,5172973453,400000,MSCI Philippines IMI Index,1436.33,0.00,0.00
20221101,069500,KODEX 200,30420,455,1.52,30461.45,30045,30425,30000,7492177,227371968165,5346315000000,5463260909578,175750000,코스피 200,303.88,4.30,1.44
20221101,226980,KODEX 200 중소형,10670,270,2.6,10682.81,10430,10680,10430,2776,29315930,5335000000,5341403040,500000,코스피 200 중소형주지수,1070.59,25.07,2.40
20221101,337160,KODEX 200ESG,11215,125,1.13,11218.73,11100,11215,11080,919,10257750,74019000000,74043643440,6600000,코스피 200 ESG 지수,330.67,4.02,1.23
20221101,363580,KODEX 200IT TR,10720,140,1.32,10767.27,10555,10725,10495,49435,526546265,58960000000,59219957529,5500000,코스피200 정보기술 TR,3247.35,50.98,1.59
20221101,278530,KODEX 200TR,10190,140,1.39,10204.26,10105,10190,10050,1505257,15295536475,1913682000000,1957688032031,187800000,코스피 200 TR,372.22,5.27,1.44
20221101,337150,KODEX 200exTOP,10160,90,0.89,10308.56,10160,10160,10160,100,1016000,61976000000,62882219786,6100000,코스피 200 초대형제외 지수,222.64,3.54,1.62
