BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20240502,466400,1Q 25-08 회사채(A+이상)액티브,104090,20,0.02,104057.50,104105,104110,104090,1525,158757835,120744400000,120706704468,1160000,KIS 2025-08만기형 크레딧 A+이상 지수(총수익),117.80,0.04,0.03
20240502,451060,1Q K200액티브,11580,-45,-0.39,11598.02,11615,11615,11545,12343,142883810,154593000000,154833525588,13350000,코스피 200,364.31,-0.82,-0.22
20240502,463290,1Q 단기금융채액티브,103385,40,0.04,103344.83,103350,103395,103350,20384,2107287750,164795690000,164731660799,1594000,MK 머니마켓 지수(총수익),13760.85,2.02,0.01
20240502,479080,1Q 머니마켓액티브,50220,15,0.03,50206.16,50220,50220,50215,2100,105461985,291276000000,341401915532,5800000,KIS-하나 MMF 지수(총수익),112.49,0.01,0.01
20240502,472350,1Q 차이나H(H),11350,195,1.75,11131.09,11175,11360,11155,149,1670325,22700000000,20035961149,2000000,Hang Seng China H,6437.09,146.47,2.33
20240502,473440,ACE 11월만기자동연장회사채AA-이상액티브,10225,5,0.05,10217.41,10220,10225,10220,10849,110896275,124745000000,124652364389,12200000,KIS 11월 만기자동연장회사채(AA-이상) 총수익지수,115.11,0.02,0.02
20240502,105190,ACE 200,36765,-175,-0.47,36833.13,36730,36875,36690,2255,82975805,461400750000,462255725377,12550000,코스피 200,364.31,-0.82,-0.22
20240502,332500,ACE 200TR,23690,-130,-0.55,23754.85,23560,23785,23560,14412,342003120,40273000000,40383245791,1700000,코스피 200 TR,464.52,-1.00,-0.21
20240502,448880,ACE 24-12 회사채(AA-이상)액티브,104180,45,0.04,104133.63,104180,104180,104170,500,52088195,235446800000,236383331958,2260000,KIS 크레딧 2412만기형 총수익지수,111.24,0.01,0.01
20240502,461260,ACE 25-06 회사채(AA-이상)액티브,10455,5,0.05,10453.23,10445,10460,10445,6040,63172295,83744550000,83730369828,8010000,KIS 크레딧 2506만기형(AA-이상)지수(총수익지수),117.81,0.03,0.03
20240502,461270,ACE 26-06 회사채(AA-이상)액티브,10520,0,0.00,10519.25,10520,10525,10520,29441,309826400,140021200000,140011187067,13310000,KIS 크레딧 2606만기형(AA-이상)지수(총수익지수),116.12,0.05,0.04
20240502,475260,ACE 2월만기자동연장회사채AA-이상액티브,10130,5,0.05,10125.15,10125,10130,10125,3382,34253965,43964200000,43943148431,4340000,KAP 2월 만기자동연장회사채(AA-이상) 총수익지수,114.19,0.02,0.02
20240502,385600,ACE 2차전지&친환경차액티브,11760,-200,-1.67,11765.75,12100,12100,11750,3275,38656545,22344000000,22354926736,1900000,FnGuide 친환경 자동차 밸류체인 지수,1571.58,-7.04,-0.45
20240502,475270,ACE 5월만기자동연장회사채AA-이상액티브,10115,5,0.05,10106.70,10115,10115,10110,2252,22778530,25489800000,25468885811,2520000,KIS 5월 만기자동연장회사채(AA-이상) 총수익지수,113.00,0.01,0.01
20240502,475280,ACE 8월만기자동연장회사채AA-이상액티브,10125,5,0.05,10117.07,10125,10125,10120,368,3725980,25616250000,25596181140,2530000,KAP 8월 만기자동연장회사채(AA-이상) 총수익지수,114.70,0.01,0.01
20240502,469150,ACE AI반도체포커스,16225,-25,-0.15,16200.67,15905,16250,15905,40433,650567415,42996250000,42121746056,2650000,FnGuide AI 반도체 포커스 지수(시장가격),2025.58,-7.20,-0.35
20240502,385590,ACE ESG액티브,8130,-25,-0.31,8126.96,8085,8165,8085,498,4038690,26016000000,26006284015,3200000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1608.11,-9.62,-0.59
20240502,380340,ACE Fn5G플러스,10395,-40,-0.38,10442.77,10360,10445,10325,587,6092425,7276500000,7309939416,700000,FnGuide 5G플러스 지수 (시장가격),2079.20,-2.40,-0.12
20240502,226380,ACE Fn성장소비주도주,5930,15,0.25,5934.12,5935,5960,5915,898,5323160,5930000000,5934120165,1000000,FnGuide 성장소비주도 지수,1962.55,5.29,0.27
20240502,414270,ACE G2전기차&자율주행액티브,8120,-230,-2.75,8015.97,8115,8145,8005,86854,702560065,64960000000,62925358244,8000000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,230.21,2.85,1.25
20240502,475050,ACE KPOP포커스,8145,70,0.87,8149.13,8075,8245,8075,67432,550720455,13846500000,14260975937,1700000,iSelect K-POP 포커스지수(시장가격),2040.17,20.85,1.03
20240502,411060,ACE KRX금현물,14815,15,0.10,14755.79,14795,14900,14750,200808,2976399770,207410000000,206581108191,14000000,KRX 금현물지수,2437.46,-8.70,-0.36
20240502,225130,ACE 골드선물 레버리지(합성 H),20675,-250,-1.19,20346.36,20905,20905,20645,13715,285502460,10337500000,10173178608,500000,S&P GSCI GOLD Index Excess Return,153.66,0.45,0.29
20240502,365780,ACE 국고채10년,86450,195,0.23,86375.01,86450,86520,86280,25381,2190935305,458790150000,457873904369,5307000,KIS 10년 국고채 지수 (총수익),15329.42,11.48,0.07
20240502,114460,ACE 국고채3년,102285,85,0.08,102246.14,102270,102295,102230,119,12171645,18411300000,18404305440,180000,KTB INDEX(시장가격),10295.93,7.43,0.07
20240502,299070,ACE 국채선물10년인버스,113805,0,0.00,113862.01,0,0,0,0,0,2276100000,2277240127,20000,10년국채선물지수,1178.53,1.38,0.12
20240502,299080,ACE 국채선물3년인버스,110360,-85,-0.08,110373.16,0,0,0,0,0,2207200000,2207463193,20000,국채선물지수,1217.32,0.70,0.06
20240502,411050,ACE 글로벌메타버스테크액티브,11335,-320,-2.75,11228.74,11480,11490,11325,1631,18508440,17002500000,16843115313,1500000,Bloomberg Global Digital Media & Tech Select Price Return Index,3986.83,1.03,0.03
20240502,446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,21550,-590,-2.66,21150.81,21350,21550,21250,318536,6832903685,329715000000,320434826983,15300000,Solactive Global Semiconductor TOP4 Plus Price Return Index,3935.43,-165.85,-4.04
20240502,435040,ACE 글로벌브랜드TOP10블룸버그,14010,-235,-1.65,13891.59,14020,14070,13935,2136,29935645,12609000000,12502426700,900000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),3576.92,-4.36,-0.12
20240502,460960,ACE 글로벌인컴TOP10 SOLACTIVE,10625,-15,-0.14,10568.02,10725,10725,10605,13471,143252400,15406250000,15323631354,1450000,Solactive Global Superior Income TOP 10 Price Return Index,759.20,6.52,0.87
20240502,440640,ACE 단기채권알파액티브,106380,40,0.04,106337.36,106335,106380,106335,305,32443535,54147420000,54125718413,509000,KIS 단기채권알파AA-이상 총수익지수,115.54,0.02,0.02
20240502,190620,ACE 단기통안채,101480,45,0.04,101450.12,101440,101485,101440,2449,248515615,138012800000,137972165912,1360000,KIS MSB 단기지수(총수익),12358.81,1.36,0.01
20240502,265690,ACE 러시아MSCI(합성),9505,0,0.00,45.36,0,0,0,0,0,17584250000,83911018,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
20240502,152500,ACE 레버리지,7700,-60,-0.77,7693.40,7650,7740,7650,8173,62965805,10010000000,10001423213,1300000,코스피 200,364.31,-0.82,-0.22
20240502,291130,ACE 멕시코MSCI(합성),16150,-220,-1.34,16070.21,16310,16370,16030,7740,125025685,14535000000,14463185955,900000,MSCI MEXICO IMI 25/50 Price return Index,11467.48,9.93,0.09
20240502,452250,ACE 미국30년국채선물레버리지(합성 H),6020,-25,-0.41,5934.30,6010,6030,5975,118225,709019720,71036000000,70024687135,11800000,S&P Ultra T-Bond Futures Index(ER),113.48,1.26,1.12
20240502,476760,ACE 미국30년국채액티브,9710,-40,-0.41,9704.46,9750,9750,9690,124992,1213551820,14565000000,14556690688,1500000,Bloomberg U.S Treasury 20+ Year Total Return Index,558.58,5.65,1.02
20240502,453850,ACE 미국30년국채액티브(H),8100,-5,-0.06,8086.06,8075,8105,8065,1558477,12601732410,1122660000000,1123154118604,138600000,Bloomberg U.S Treasury 20+ Year Total Return Index,558.58,5.65,1.02
20240502,476750,ACE 미국30년국채엔화노출액티브(H),9105,20,0.22,9078.84,9095,9115,9055,192634,1749432885,51898500000,54473049853,5700000,Bloomberg U.S. Treasury 20+ Year Total Return Index T1530 JPY Currency Hedged,114.11,-0.27,-0.24
20240502,480030,ACE 미국500 15%프리미엄분배(합성),10065,-175,-1.71,10001.63,10065,10105,10045,487253,4910502690,10065000000,13002123036,1000000,Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index,1056.09,6.53,0.62
20240502,280320,ACE 미국IT인터넷S&P(합성 H),15800,-130,-0.82,15848.01,15865,15865,15800,159,2522210,12640000000,12678411350,800000,다우존스 인터넷 종합지수,913.67,23.02,2.58
20240502,360200,ACE 미국S&P500,17490,-305,-1.71,17392.95,17500,17565,17470,540190,9458533940,947958000000,944437377883,54200000,S&P 500,5064.20,28.51,0.57
20240502,438080,ACE 미국S&P500채권혼합액티브,11450,-85,-0.74,11432.71,11630,11630,11435,77884,893593860,57250000000,57163554237,5000000,S&P500 and Short-Term Treasury 30/70 Blend Index,175.13,0.35,0.20
20240502,309230,ACE 미국WideMoat가치주,24085,-415,-1.69,23866.99,24045,24460,24040,28890,697099765,95858300000,94990611943,3980000,MorningStar Wide Moat Focus Index,13079.15,48.83,0.37
20240502,367380,ACE 미국나스닥100,18365,-435,-2.31,18245.20,18395,18445,18350,465643,8562323650,747455500000,744403979385,40700000,NASDAQ 100,17541.54,100.85,0.58
20240502,438100,ACE 미국나스닥100채권혼합액티브,11800,-110,-0.92,11781.24,12095,12335,11785,34110,403273080,18880000000,18849981798,1600000,NASDAQ-100 US T-Bills 30/70 Index,1610.24,3.28,0.20
20240502,181480,ACE 미국다우존스리츠(합성 H),73400,-860,-1.16,73208.74,73445,73445,72750,1561,114448695,13212000000,13177573997,180000,Dow Jones U.S. Real Estate Index,1508.51,23.45,1.58
20240502,456880,ACE 미국달러SOFR금리(합성),10950,-30,-0.27,10948.82,10980,10995,10935,39079,428455505,112018500000,112006388675,10230000,Solactive SOFR Daily Total Return Index,1135.38,0.34,0.03
20240502,440650,ACE 미국달러단기채권액티브,10880,-40,-0.37,10877.06,10920,10920,10870,3588,39112270,10880000000,10877058196,1000000,Bloomberg Short-Term Treasury Total Return Index,138.59,0.07,0.05
20240502,480040,ACE 미국반도체15%프리미엄분배(합성),10215,-380,-3.59,10008.79,10580,10580,10150,380520,3902600140,10215000000,10008788800,1000000,Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index,1332.20,-11.46,-0.85
20240502,402970,ACE 미국배당다우존스,11470,-155,-1.33,11423.37,11620,11620,11455,301002,3459060300,306249000000,302719296013,26700000,Dow Jones U.S. Dividend 100 Price Return Index,5448.04,16.52,0.30
20240502,480020,ACE 미국빅테크7+ 15%프리미엄분배(합성),10015,-200,-1.96,9897.49,10000,10060,9995,445781,4468652460,10015000000,12866739858,1000000,Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index,1594.46,21.09,1.34
20240502,465580,ACE 미국빅테크TOP7 Plus,12830,-265,-2.02,12692.19,12755,12870,12755,374403,4805341700,212336500000,210055778398,16550000,Solactive US Big Tech Top 7 Plus Price Return Index,21208.56,321.96,1.54
20240502,465610,ACE 미국빅테크TOP7 Plus레버리지(합성),15500,-735,-4.53,15212.00,15515,15610,15415,58889,914404685,24800000000,24339203548,1600000,Solactive US Big Tech Top 7 Plus Price Return Index,21208.56,321.96,1.54
20240502,465620,ACE 미국빅테크TOP7 Plus인버스(합성),14935,295,2.02,15043.61,15000,15000,14880,798,11919970,4480500000,4513082792,300000,Solactive US Big Tech Top 7 Plus Price Return Index,21208.56,321.96,1.54
20240502,391590,ACE 미국스팩&IPO INDXX,5390,15,0.28,5408.91,5375,5405,5375,53,285705,2695000000,2704456873,500000,Indxx SPAC & NEXTGEN IPO Price return Index,-,-,-
20240502,473590,ACE 미국주식베스트셀러,11190,-405,-3.49,11153.23,11210,11210,10910,4341,48460120,11190000000,11153229599,1000000,FnGuide 미국 주식 베스트셀러 지수(시장가격지수),5850.04,-190.15,-3.15
20240502,391600,ACE 미국친환경그린테마INDXX,8570,-135,-1.55,8672.72,8695,8695,8530,1465,12610520,19282500000,19513625287,2250000,Indxx US Green Infrastructure Price return Index,2738.02,83.84,3.16
20240502,455660,ACE 미국하이일드액티브(H),9840,-55,-0.56,9878.11,9945,9945,9795,4573,44940390,8856000000,8890295375,900000,Markit iBoxx USD Liquid High Yield Total Return Index,337.22,1.91,0.57
20240502,143460,ACE 밸류대형,9800,-85,-0.86,9799.90,9850,9850,9800,164,1609320,5880000000,5879939483,600000,FnGuide-RAFI 코리아 대형 지수,9695.45,-68.23,-0.70
20240502,245710,ACE 베트남VN30(합성),19100,-90,-0.47,19271.65,19190,19210,19060,42442,811860510,254030000000,256312916364,13300000,VN30 Index(PR),1247.21,6.71,0.54
20240502,371130,ACE 베트남VN30선물블룸버그레버리지(H),10595,55,0.52,10494.66,10450,10680,10450,728,7714385,6357000000,6296798428,600000,Bloomberg VN30 Futures Excess Return Index,179.48,1.44,0.81
20240502,131890,ACE 삼성그룹동일가중,17920,-215,-1.19,17912.63,18095,18095,17910,170,3054435,8960000000,8956315548,500000,MKF SAMs EW 지수,17875.56,-206.29,-1.14
20240502,108450,ACE 삼성그룹섹터가중,15640,-35,-0.22,15633.48,15770,15770,15585,6485,101685500,42228000000,42210385271,2700000,MKF SAMs SW,15575.78,-35.57,-0.23
20240502,322130,ACE 스마트로우볼,16275,-40,-0.25,16267.85,16290,16290,16275,20,325650,6510000000,6507141838,400000,FnGuide 스마트 로우볼 지수,-,-,-
20240502,272220,ACE 스마트모멘텀,15460,-65,-0.42,15452.51,15490,15490,15400,5847,90296340,7730000000,7726255270,500000,FnGuide 스마트 모멘텀 지수,-,-,-
20240502,272230,ACE 스마트밸류,14475,-60,-0.41,14467.64,14505,14505,14475,42,608580,8685000000,8680584842,600000,FnGuide 스마트 밸류 지수,-,-,-
20240502,322120,ACE 스마트퀄리티,15840,-5,-0.03,15822.82,15840,15840,15840,20,316800,7920000000,7911412349,500000,FnGuide 스마트 퀄리티 지수,-,-,-
20240502,322150,ACE 스마트하이베타,13270,-45,-0.34,13259.02,13295,13295,13265,1610,21357400,6635000000,6629510443,500000,FnGuide 스마트 하이베타 지수,-,-,-
20240502,316300,ACE 싱가포르리츠,11790,-40,-0.34,11864.60,11830,11870,11750,151,1781750,5895000000,5932301152,500000,Morningstar Singapore REIT Yield Focus Index(PR),1192.78,-6.11,-0.51
20240502,277540,ACE 아시아TOP50S&P,14050,60,0.43,13934.76,13990,14050,13880,2396,33430510,21075000000,20902135709,1500000,S&P ASIA50 Price Return Index,3969.87,22.11,0.56
20240502,448540,ACE 엔비디아채권혼합블룸버그,18190,-245,-1.33,18090.85,18200,18215,18155,105479,1919358075,101864000000,101308783198,5600000,Bloomberg Blended NVIDIA Equity and Korean Bond Index,6786.71,-120.28,-1.74
20240502,433500,ACE 원자력테마딥서치,15375,-205,-1.32,15397.43,15580,15580,15300,16512,254562970,9225000000,9238455585,600000,DeepSearch 원자력테마 지수 (시장가격지수),1536.07,-24.70,-1.58
20240502,256440,ACE 인도네시아MSCI(합성),10030,-105,-1.04,10115.14,10145,10345,9870,28583,287675880,46138000000,46529639318,4600000,MSCI Indonesia Index,7079.15,-221.70,-3.04
20240502,145670,ACE 인버스,5250,25,0.48,5243.09,5285,5285,5225,3999,20970930,2625000000,2621545077,500000,코스피 200 선물지수,1826.19,-10.50,-0.57
20240502,238720,ACE 일본Nikkei225(H),26810,-115,-0.43,26852.83,26705,26925,26650,8965,240322500,29491000000,29538107733,1100000,Nikkei 225,38236.07,-169.59,-0.44
20240502,196030,ACE 일본TOPIX레버리지(H),43370,-880,-1.99,43790.05,43570,43930,42870,1124,49008855,21685000000,21895022930,500000,TOPIX,2728.53,-14.64,-0.53
20240502,205720,ACE 일본TOPIX인버스(합성 H),2620,0,0.00,2640.12,2625,2640,2605,43536,113806725,7074000000,7128320653,2700000,TOPIX,2728.53,-14.64,-0.53
20240502,469160,ACE 일본반도체,12695,110,0.87,12810.36,12835,12835,12595,6845,86489595,7617000000,7686214620,600000,Bloomberg Japan Semiconductor Select Top 25 Index(Price Return),3720.53,5.33,0.14
20240502,356540,ACE 종합채권(AA-이상)KIS액티브,99895,145,0.15,99829.99,99820,99895,99775,736,73483645,743518485000,716978983159,7443000,KIS 종합채권 AA-이상 총수익 지수(Total return Index),111.93,0.10,0.09
20240502,447430,ACE 주주환원가치주액티브,12100,-10,-0.08,12100.23,12100,12105,12020,3225,38884545,16335000000,16335316743,1350000,FnGuide 올라운드 가치주 지수,870.26,-0.86,-0.10
