BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20230102,105190,ACE 200,29665,-185,-0.62,29721.14,29890,30080,29645,16209,484391410,458324250000,387860837350,15450000,코스피 200,289.79,-1.31,-0.45
20230102,332500,ACE 200TR,18430,-115,-0.62,18442.63,18635,18670,18405,1178,21750580,25802000000,25819684436,1400000,코스피 200 TR,361.05,-1.63,-0.45
20230102,448870,ACE 23-12 회사채(AA-이상)액티브,101210,35,0.03,101233.91,101230,101230,101195,48481,4907190765,46354180000,46365128931,458000,KIS 크레딧 2312만기형 총수익지수,106.13,0.09,0.08
20230102,448880,ACE 24-12 회사채(AA-이상)액티브,101760,0,0.00,101788.46,101835,101835,101750,7082,720806935,35819520000,35829538814,352000,KIS 크레딧 2412만기형 총수익지수,103.44,0.04,0.04
20230102,385590,ACE ESG액티브,6515,-35,-0.53,6512.10,6550,6550,6515,165,1079580,21499500000,21489918262,3300000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1354.95,-2.36,-0.17
20230102,380340,ACE Fn5G플러스,6305,-25,-0.39,6279.89,6370,6370,6275,60,378870,4413500000,4395922111,700000,FnGuide 5G플러스 지수 (시장가격),1245.94,-8.22,-0.66
20230102,226380,ACE Fn성장소비주도주,6035,-140,-2.27,6077.19,6180,6180,5980,641,3847625,6035000000,6077187278,1000000,FnGuide 성장소비주도 지수,2004.68,-31.51,-1.55
20230102,414270,ACE G2전기차&자율주행액티브,7710,185,2.46,7696.63,7525,7865,7525,7894,60645220,68619000000,68500016053,8900000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,219.56,0.42,0.19
20230102,411060,ACE KRX금현물,10885,175,1.63,10793.60,10715,10885,10715,67352,729718515,43540000000,43174411602,4000000,KRX 금현물지수,1765.22,18.54,1.06
20230102,225130,ACE 골드선물 레버리지(합성 H),15155,-310,-2.00,15719.59,15500,15650,15155,4828,75098155,10608500000,11003710264,700000,S&P GSCI GOLD Index Excess Return,131.18,0.02,0.02
