BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20240304,105190,ACE 200,36845,425,1.17,36969.45,36750,37035,36680,27063,999555425,477142750000,478754358049,12950000,코스피 200,361.10,5.53,1.56
20240304,332500,ACE 200TR,23385,275,1.19,23410.08,23695,23695,23170,2108,49242905,37416000000,37456134197,1600000,코스피 200 TR,458.01,7.01,1.55
20240304,385600,ACE 2차전지&친환경차액티브,12430,250,2.05,12429.75,12580,12580,12185,20702,256463235,23617000000,23616532617,1900000,FnGuide 친환경 자동차 밸류체인 지수,1661.69,25.92,1.58
20240304,469150,ACE AI반도체포커스,14400,895,6.63,14403.14,13910,14545,13810,134086,1913575140,17280000000,17283773189,1200000,FnGuide AI 반도체 포커스 지수(시장가격),1800.37,114.63,6.80
20240304,385590,ACE ESG액티브,7975,175,2.24,8003.7,7860,7985,7860,2733,21701570,25520000000,25611833180,3200000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1613.45,28.20,1.78
20240304,380340,ACE Fn5G플러스,10110,305,3.11,10120.32,9895,10130,9895,1873,18808965,7077000000,7084220643,700000,FnGuide 5G플러스 지수 (시장가격),2014.50,59.82,3.06
20240304,226380,ACE Fn성장소비주도주,5710,-60,-1.04,5710.82,5770,5820,5710,1451,8340570,5710000000,5710822482,1000000,FnGuide 성장소비주도 지수,1878.21,-15.88,-0.84
20240304,414270,ACE G2전기차&자율주행액티브,8380,145,1.76,8505.3,8510,8520,8380,82121,693161580,66621000000,68042434394,7950000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,223.46,0.40,0.18
20240304,475050,ACE KPOP포커스,7965,-230,-2.81,7954.8,8245,8325,7950,153738,1240557380,7965000000,7954801547,1000000,iSelect K-POP 포커스지수(시장가격),1990.13,-57.88,-2.83
20240304,411050,ACE 글로벌메타버스테크액티브,11550,355,3.17,11579.69,11305,11555,11305,3763,43240390,18480000000,18527498940,1600000,Bloomberg Global Digital Media & Tech Select Price Return Index,4001.40,91.10,2.33
20240304,446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,21450,930,4.53,21550.74,21005,21535,20995,1025388,21948809820,210210000000,212274834276,9800000,Solactive Global Semiconductor TOP4 Plus Price Return Index,4137.89,210.17,5.35
20240304,435040,ACE 글로벌브랜드TOP10블룸버그,14030,185,1.34,14006.17,13965,14030,13930,3395,47515990,12627000000,12605557021,900000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),3689.52,41.04,1.12
20240304,460960,ACE 글로벌인컴TOP10 SOLACTIVE,10400,65,0.63,10388.8,10510,10510,10335,9217,95793850,8840000000,8830484197,850000,Solactive Global Superior Income TOP 10 Price Return Index,763.19,1.04,0.14
20240304,265690,ACE 러시아MSCI(합성),9505,0,0.0,45.23,0,0,0,0,0,17584250000,83683546,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
