BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20240603,451060,1Q K200액티브,11610,180,1.57,11629.9,11430,11665,11430,8443,98054920,148027500000,146536682647,12750000,코스피 200,365.48,7.27,2.03
20240603,472350,1Q 차이나H(H),11675,90,0.78,11341.46,11380,11675,11375,1814,20686125,21015000000,20414630633,1800000,Hang Seng China H,6564.54,171.96,2.69
20240603,105190,ACE 200,36885,610,1.68,36947.14,36450,37040,36450,13734,505944310,488726250000,489549627595,13250000,코스피 200,365.48,7.27,2.03
20240603,332500,ACE 200TR,23795,415,1.78,23829.81,23495,23895,23495,8392,199340990,40451500000,40510677792,1700000,코스피 200 TR,466.02,9.27,2.03
20240603,385600,ACE 2차전지&친환경차액티브,11520,100,0.88,11505.89,11620,11700,11400,11702,134645460,21888000000,21861183262,1900000,FnGuide 친환경 자동차 밸류체인 지수,1507.33,17.97,1.21
20240603,469150,ACE AI반도체포커스,17030,-230,-1.33,17027.83,17210,17210,16655,83431,1409970515,45981000000,45975129497,2700000,FnGuide AI 반도체 포커스 지수(시장가격),2129.89,-27.78,-1.29
20240603,385590,ACE ESG액티브,8295,100,1.22,8294.48,8210,8300,8210,94,775770,26544000000,26542327043,3200000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1610.51,22.02,1.39
20240603,380340,ACE Fn5G플러스,10555,-145,-1.36,10599.58,10725,10725,10445,1378,14430625,7388500000,7419705772,700000,FnGuide 5G플러스 지수 (시장가격),2112.43,-22.30,-1.04
20240603,226380,ACE Fn성장소비주도주,6215,10,0.16,6246.95,6245,6255,6205,9369,58341310,6215000000,6246945377,1000000,FnGuide 성장소비주도 지수,2067.48,6.60,0.32
20240603,414270,ACE G2전기차&자율주행액티브,8490,-40,-0.47,8387.84,8500,8520,8415,62618,531241025,66222000000,64586359469,7800000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,231.57,1.62,0.70
