BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20220801,105190,KINDEX 200,32535,-70,-0.21,32556.43,32490,32670,32320,159413,5184443100,538454250000,533925500928,16550000,코스피 200,322.97,-0.34,-0.11
20220801,332500,KINDEX 200TR,20200,-40,-0.2,20196.95,20220,20270,20060,1902,38305735,32320000000,28275724813,1600000,코스피 200 TR,394.35,-0.43,-0.11
20220801,385590,KINDEX ESG액티브,7320,15,0.21,7321.68,7300,7335,7290,395,2891610,24156000000,24161557158,3300000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1547.80,-3.86,-0.25
20220801,380340,KINDEX Fn5G플러스,7325,0,0.0,7322.8,7360,7360,7300,481,3521650,5127500000,5125961686,700000,FnGuide 5G플러스 지수 (시장가격),1464.98,-1.65,-0.11
20220801,226380,KINDEX Fn성장소비주도주,6195,-25,-0.4,6181.53,6215,6215,6155,196,1210605,6195000000,6181534464,1000000,FnGuide 성장소비주도 지수,2057.16,-13.08,-0.63
20220801,414270,KINDEX G2전기차&자율주행액티브,10385,255,2.52,10255.47,10130,10385,10130,246104,2528765115,86195500000,85120415362,8300000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,295.17,5.98,2.07
20220801,411050,KINDEX 글로벌메타버스테크액티브,7205,35,0.49,7352.17,7385,7385,7180,945,6825550,14410000000,14704343322,2000000,Bloomberg Global Digital Media & Tech Select Price Return Index,2508.74,12.76,0.51
20220801,435040,KINDEX 글로벌브랜드TOP10블룸버그,10615,-10,-0.09,10732.19,10690,10705,10565,19419,206190900,11676500000,11805410486,1100000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),2875.35,15.43,0.54
20220801,265690,KINDEX 러시아MSCI(합성),10070,0,0.0,507.64,0,0,0,0,0,18629500000,939143159,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
20220801,152500,KINDEX 레버리지,6265,5,0.08,6266.62,6285,6305,6185,18006,112488530,8144500000,8146604859,1300000,코스피 200,322.97,-0.34,-0.11
20220801,291130,KINDEX 멕시코MSCI(합성),10885,-65,-0.59,10942.57,10990,10990,10875,513,5611455,8708000000,8754057130,800000,MSCI MEXICO IMI 25/50 Price return Index,9629.97,-125.87,-1.29
20220801,280320,KINDEX 미국IT인터넷S&P(합성 H),11765,-70,-0.59,11812.83,11750,11835,11750,2418,28539850,9412000000,9450264999,800000,다우존스 인터넷 종합지수,646.37,1.17,0.18
20220801,360200,KINDEX 미국S&P500,13580,120,0.89,13629.0,13460,13615,13460,129665,1761173130,525546000000,527442205133,38700000,S&P 500,4118.63,-11.66,-0.28
20220801,309230,KINDEX 미국WideMoat가치주,18315,135,0.74,18436.25,18300,18375,18265,88301,1616572280,122710500000,123522862496,6700000,MorningStar Wide Moat Focus Index,10673.53,3.57,0.03
20220801,402970,KINDEX 미국고배당S&P,10570,35,0.33,10610.65,10540,10605,10540,34769,367979205,56021000000,56236453159,5300000,Dow Jones U.S. Dividend 100 Price Return Index,5268.66,4.79,0.09
20220801,367380,KINDEX 미국나스닥100,12925,35,0.27,12968.73,12895,12950,12895,120991,1563767965,420062500000,421483750919,32500000,NASDAQ 100,12940.78,-7.20,-0.06
20220801,391600,KINDEX 미국친환경그린테마INDXX,10880,130,1.21,10991.73,10830,10950,10830,34492,375122075,65280000000,65950354430,6000000,Indxx US Green Infrastructure Price return Index,3576.63,-35.70,-0.99
20220801,245710,KINDEX 베트남VN30(합성),20150,215,1.08,19978.63,19960,20205,19935,13480,270455295,165230000000,163824747435,8200000,VN30 Index(PR),1256.25,24.25,1.97
20220801,131890,KINDEX 삼성그룹동일가중,15285,35,0.23,15279.45,15260,15285,15230,681,10389935,7642500000,7639725985,500000,MKF SAMs EW 지수,15259.76,-7.23,-0.05
20220801,108450,KINDEX 삼성그룹섹터가중,14390,90,0.63,14392.5,14260,14390,14190,209,2992845,34536000000,34542005786,2400000,MKF SAMs SW,14334.01,94.04,0.66
20220801,277540,KINDEX 아시아TOP50S&P,12375,30,0.24,12348.23,12350,12375,12290,763,9424990,20418750000,20374586248,1650000,S&P ASIA50 Price Return Index,3540.57,-11.44,-0.32
20220801,433500,KINDEX 원자력테마딥서치,11945,55,0.46,11957.83,11875,11990,11875,22327,266702980,13139500000,13153617687,1100000,DeepSearch 원자력테마 지수 (시장가격지수),1195.04,5.47,0.46
20220801,256440,KINDEX 인도네시아MSCI(합성),10070,-35,-0.35,10215.56,10115,10180,10000,25512,257130940,44308000000,44948465590,4400000,MSCI Indonesia Index,7082.19,66.70,0.95
20220801,145670,KINDEX 인버스,5870,-10,-0.17,5870.24,5880,5925,5850,6781,39964810,5283000000,5283212549,900000,코스피 200 선물지수,1640.66,2.28,0.14
20220801,238720,KINDEX 일본Nikkei225(H),18510,125,0.68,18372.03,18385,18510,18315,1106,20458260,12957000000,12860421238,700000,Nikkei 225,27993.35,191.71,0.69
20220801,196030,KINDEX 일본TOPIX레버리지(H),21150,470,2.27,20709.7,20820,21150,20820,529,11163165,10575000000,10354850461,500000,TOPIX,1960.11,19.80,1.02
20220801,205720,KINDEX 일본TOPIX인버스(합성 H),4075,10,0.25,4109.26,4065,4080,4060,1431,5824290,7335000000,7396676383,1800000,TOPIX,1960.11,19.80,1.02
20220801,416090,KINDEX 중국과창판STAR50,8270,-5,-0.06,8595.63,8205,8305,7785,4357,35508710,8270000000,8595625248,1000000,STAR 50 Index(Price Return),1100.18,11.27,1.03
20220801,168580,KINDEX 중국본토CSI300,28855,45,0.16,28853.44,28800,28975,28350,8353,240023570,193328500000,193318072832,6700000,CSI 300 Index,4188.68,18.58,0.45
20220801,219900,KINDEX 중국본토CSI300레버리지(합성),4375,30,0.69,4363.48,4410,4410,4290,4756,20687820,10500000000,10472363176,2400000,CSI 300 Index,4188.68,18.58,0.45
20220801,371870,KINDEX 차이나항셍테크,6130,10,0.16,6137.44,6120,6185,6040,1947,11900185,5517000000,5523694961,900000,Hang Seng TECH Index,4324.03,-7.16,-0.17
20220801,385600,KINDEX 친환경자동차밸류체인액티브,9580,195,2.08,9616.54,9465,9615,9465,8793,84056505,23950000000,24041354109,2500000,FnGuide 친환경 자동차 밸류체인 지수,1391.81,12.59,0.91
20220801,354500,KINDEX 코스닥150,11555,95,0.83,11622.91,11470,11560,11450,1915,22009885,16177000000,16272067139,1400000,코스닥 150,1155.23,3.43,0.30
20220801,305050,KINDEX 코스피,25000,0,0.0,25006.74,24865,25035,24865,5286,131533995,6250000000,6251683785,250000,코스피,2452.25,0.75,0.03
20220801,261920,KINDEX 필리핀MSCI(합성),12975,-15,-0.12,12975.22,12955,13000,12890,565,7322200,5190000000,5190088057,400000,MSCI Philippines IMI Index,1485.50,-3.24,-0.22
20220801,069500,KODEX 200,32370,-15,-0.05,32395.01,32305,32515,32155,6077218,196742619555,5172726000000,5163764486055,159800000,코스피 200,322.97,-0.34,-0.11
20220801,226980,KODEX 200 중소형,11630,55,0.48,11648.98,11565,11700,11565,1426,16616570,5815000000,5824489296,500000,코스피 200 중소형주지수,1169.40,2.52,0.22
20220801,337160,KODEX 200ESG,11935,-25,-0.21,11936.17,11915,11940,11835,582,6937435,78771000000,78778743531,6600000,코스피 200 ESG 지수,353.03,-0.73,-0.21
20220801,363580,KODEX 200IT TR,10840,45,0.42,10883.88,10795,10885,10790,919,9967845,72628000000,72922017656,6700000,코스피200 정보기술 TR,3281.61,3.82,0.12
20220801,278530,KODEX 200TR,10810,-10,-0.09,10813.85,10785,10855,10730,44919,485567910,1133428500000,1132209908018,104850000,코스피 200 TR,394.35,-0.43,-0.11
20220801,337150,KODEX 200exTOP,11075,0,0.0,11113.49,11075,11075,11075,1,11075,12182500000,12224842444,1100000,코스피 200 초대형제외 지수,240.40,-0.19,-0.08
20220801,223190,KODEX 200가치저변동,9285,-40,-0.43,9282.39,9295,9310,9235,5432,50302770,14856000000,14851827336,1600000,코스피 200 가치저변동성,4536.32,-18.38,-0.40
20220801,252650,KODEX 200동일가중,10480,20,0.19,10474.27,10460,10520,10460,30187,316269860,8384000000,8379414717,800000,코스피 200 동일가중지수,2106.21,0.09,0.00
