BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20230403,105190,ACE 200,32940,-200,-0.6,32993.23,33140,33140,32890,7022,231409710,421632000000,422313298577,12800000,코스피 200,320.38,-1.65,-0.51
20230403,332500,ACE 200TR,20445,-140,-0.68,20466.64,20585,20585,20430,631,12920105,28623000000,28653294639,1400000,코스피 200 TR,399.76,-1.99,-0.50
20230403,385590,ACE ESG액티브,7290,-60,-0.82,7327.29,7350,7350,7290,574,4205240,24057000000,24180052670,3300000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1503.14,-14.15,-0.93
20230403,380340,ACE Fn5G플러스,7165,-70,-0.97,7168.91,7250,7250,7130,26,186175,5015500000,5018237511,700000,FnGuide 5G플러스 지수 (시장가격),1424.93,-8.12,-0.57
20230403,226380,ACE Fn성장소비주도주,6285,-35,-0.55,6285.54,6320,6325,6280,66,415645,6285000000,6285537528,1000000,FnGuide 성장소비주도 지수,2066.00,-12.34,-0.59
20230403,414270,ACE G2전기차&자율주행액티브,9000,165,1.87,9065.53,8850,9025,8850,38944,350188225,84600000000,85216021747,9400000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,246.65,-2.12,-0.85
20230403,411050,ACE 글로벌메타버스테크액티브,7460,175,2.4,7604.38,7280,7465,7280,2815,20986275,12682000000,12927444500,1700000,Bloomberg Global Digital Media & Tech Select Price Return Index,2716.90,25.95,0.96
20230403,446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,12735,180,1.43,12682.87,12635,12785,12635,392595,4998713320,40115250000,39951051580,3150000,Solactive Global Semiconductor TOP4 Plus Price Return Index,2459.44,12.56,0.51
20230403,435040,ACE 글로벌브랜드TOP10블룸버그,11505,275,2.45,11545.46,11645,11700,11400,112438,1293648595,9779250000,9813641267,850000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),3048.96,-9.43,-0.31
20230403,265690,ACE 러시아MSCI(합성),9590,0,0.0,43.65,0,0,0,0,0,17741500000,80748614,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
20230403,152500,ACE 레버리지,6120,-60,-0.97,6133.31,6220,6220,6110,6616,40782085,8568000000,8586632658,1400000,코스피 200,320.38,-1.65,-0.51
20230403,291130,ACE 멕시코MSCI(합성),13940,15,0.11,14032.82,13935,13950,13910,776,10823740,11152000000,11226254696,800000,MSCI MEXICO IMI 25/50 Price return Index,11006.32,-15.22,-0.14
20230403,280320,ACE 미국IT인터넷S&P(합성 H),12085,370,3.16,12146.79,11890,12105,11890,4389,52639400,9668000000,9717428644,800000,다우존스 인터넷 종합지수,668.99,-4.75,-0.71
20230403,360200,ACE 미국S&P500,13675,310,2.32,13718.98,13555,13720,13555,359397,4910825055,555205000000,556990754472,40600000,S&P 500,4124.51,15.20,0.37
20230403,438080,ACE 미국S&P500채권혼합액티브,9895,200,2.06,9905.63,9860,9935,9855,4866,48180945,7916000000,7924504365,800000,S&P500 and Short-Term Treasury 30/70 Blend Index,158.26,0.20,0.13
20230403,309230,ACE 미국WideMoat가치주,19685,540,2.82,19737.04,19455,19720,19455,112579,2209233270,74803000000,75000735499,3800000,MorningStar Wide Moat Focus Index,11251.71,-52.25,-0.46
20230403,402970,ACE 미국고배당S&P,10580,260,2.52,10583.22,10330,10605,10330,369891,3908808440,66654000000,64557655663,6300000,Dow Jones U.S. Dividend 100 Price Return Index,5213.11,27.13,0.52
