ID,종목코드,구성종목명,주식수,평가금액,시가총액,시가총액기준구성비중
406,000660,SK하이닉스,822.00,197280000,193581000,16.87
406,005930,삼성전자,2479.00,148492100,147500500,12.85
406,105560,KB금융,610.00,65392000,64416000,5.61
406,012450,한화에어로스페이스,66.00,59730000,62238000,5.42
406,005380,현대차,254.00,51054000,51181000,4.46
406,068270,셀트리온,291.00,47200200,47549400,4.14
406,055550,신한지주,802.00,47959600,46917000,4.09
406,000270,기아,464.00,44961600,45564800,3.97
406,086790,하나금융지주,482.00,37499600,36921200,3.22
406,012330,현대모비스,119.00,34331500,33796000,2.95
362,CNE100000Q43,AGRICULTURAL BANK OF CHINA,22727.27,,,
362,KYG040111059,ANTA SPORTS PRODUCTS LTD,1090.90,,,
362,KYG017191142,Alibaba Group Holding Ltd,5663.63,,,
362,CNE1000001Z5,BANK OF CHINA LTD-H,65181.81,,,
362,CNE100000205,BANK OF COMMUNICATIONS H SHS(NEW),6818.18,,,
362,CH1391448177,BEONE MEDICINES LTD,700.00,,,
362,CNE100000296,BYD CO LTMITED-H,2863.63,,,
362,KYG070341048,"Baidu, Inc",990.90,,,
362,CNE1000002H1,CHINA CONSTRUCTION BANK-H,84272.72,,,
362,CNE1000002L3,CHINA LIFE INSURANCE CO-H(NEW),5818.18,,,
3,US00287Y1091,ABBVIE INC,176.00,,,
3,US02209S1033,ALTRIA GROUP INC,561.00,,,
3,US0311621009,Amgen Corp,109.00,,,
3,US04316A1088,Artisan Partners Asset MA-A,31.00,,,
3,US0865161014,BEST BUY CO INC,497.00,,,
3,US1101221083,BRISTOL MYERS SQUIBB,588.00,,,
3,US1184401065,BUCKLE INC/THE,438.00,,,
3,US12740C1036,CADENCE BANK,89.00,,,
3,US1890541097,CLOROX COMPANY,226.00,,,
3,US1941621039,COLGATE-PALMOLIVE CO,350.00,,,
24,US88579Y1010,3M CO,4.00,,,
24,US0028241000,ABBOTT LABORATORIES,12.00,,,
24,US00287Y1091,ABBVIE INC,12.00,,,
24,IE00B4BNMY34,ACCENTURE PLC - CL A,4.00,,,
24,US00724F1012,ADOBE INC,3.00,,,
24,US0079031078,ADVANCED MICRO DEVICES,12.00,,,
24,US00130H1059,AES CORP,5.00,,,
24,US0010551028,AFLAC INC,3.00,,,
24,US00846U1016,AGILENT TECHNOLOGIES INC,2.00,,,
24,US0091581068,AIR PRODS & CHEM,2.00,,,
13,US88579Y1010,3M CO,8.00,,,
13,US0028241000,ABBOTT LABORATORIES,25.00,,,
13,US00287Y1091,ABBVIE INC,25.00,,,
13,IE00B4BNMY34,ACCENTURE PLC - CL A,9.00,,,
13,US00724F1012,ADOBE INC,6.00,,,
13,US0079031078,ADVANCED MICRO DEVICES,23.00,,,
13,US00130H1059,AES CORP,10.00,,,
13,US0010551028,AFLAC INC,7.00,,,
13,US00846U1016,AGILENT TECHNOLOGIES INC,4.00,,,
13,US0091581068,AIR PRODS & CHEM,3.00,,,
318,157450,TIGER 단기통안채,455.00,50323000,50338925,
318,114820,TIGER 국채3년,460.00,48916400,48900300,
318,US88579Y1010,3M CO,2.93,,,
318,US0028241000,ABBOTT LABORATORIES,9.36,,,
318,US00287Y1091,ABBVIE INC,9.52,,,
318,IE00B4BNMY34,ACCENTURE PLC-CL A,3.38,,,
318,US00724F1012,ADOBE INC,2.35,,,
318,US0079031078,ADVANCED MICRO DEVICES,8.74,,,
318,US00130H1059,AES CORP,3.84,,,
318,US0010551028,AFLAC INC,2.67,,,
