시퀀스,종목코드,종목명,분류체계,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,표준코드,한글종목명,한글종목약명,영문종목명,상장일,기초지수명,지수산출기관,추적배수,복제방법,기초시장분류,기초자산분류,상장좌수,운용사,CU수량,총보수,과세유형
146,261920,ACE 필리핀MSCI(합성),주식-시장대표,8.0,MSCI Philippines IMI Index,0.13,5588762581.0,-0.05,높음,KR7261920003,한국투자 ACE 필리핀MSCI증권상장지수투자신탁(주식-파생형)(합성),ACE 필리핀MSCI(합성),KIM ACE MSCI Philippines ETF(Synth),2016/12/28,MSCI Philippines IMI Index,MSCI,일반,합성(패시브),해외,주식,400000,한국투자신탁운용,100000,0.5,배당소득세(보유기간과세)
355,469170,ACE 포스코그룹포커스,주식-전략-기업그룹,-31.74,FnGuide 포스코그룹포커스 지수(시장가격),0.93,47875912313.0,-0.25,매우높음,KR7469170005,한국투자 ACE 포스코그룹포커스증권상장지수투자신탁(주식),ACE 포스코그룹포커스,KIM ACE POSCO Group Focus ETF,2023/10/17,FnGuide 포스코그룹포커스 지수(시장가격),FnGuide,일반,실물(패시브),국내,주식,10500000,한국투자신탁운용,50000,0.3,비과세
329,457480,ACE 테슬라밸류체인액티브,주식-업종섹터-업종테마,42.56,Bloomberg EV Supporters Plus Tesla Price Return Index,33.12,1093960392086.0,-1.06,매우높음,KR7457480002,한국투자 ACE 테슬라밸류체인액티브증권상장지수투자신탁(주식),ACE 테슬라밸류체인액티브,KIM ACE Tesla Value Chain Active ETF,2023/05/16,Bloomberg EV Supporters Plus Tesla Price Return Index,Bloomberg,일반,실물(액티브),해외,주식,74850000,한국투자신탁운용,50000,0.29,배당소득세(보유기간과세)
188,305050,ACE 코스피,주식-시장대표,4.68,코스피,0.67,8714369777.0,-0.23,높음,KR7305050007,한국투자 ACE 코스피증권상장지수투자신탁(주식),ACE 코스피,KIM ACE KOSPI ETF,2018/10/05,코스피,KRX,일반,실물(패시브),국내,주식,300000,한국투자신탁운용,50000,0.02,비과세
215,354500,ACE 코스닥150,주식-시장대표,-11.05,코스닥 150,0.19,20900760384.0,-0.16,매우높음,KR7354500001,한국투자 ACE 코스닥150증권상장지수투자신탁(주식),ACE 코스닥150,KIM ACE KOSDAQ150 ETF,2020/05/07,코스닥 150,KRX,일반,실물(패시브),국내,주식,1700000,한국투자신탁운용,100000,0.02,비과세
409,496120,ACE 코리아밸류업,주식-시장대표,0.0,코리아 밸류업 지수,1.08,21461385032.0,-0.05,높음,KR7496120007,한국투자 ACE 코리아밸류업증권상장지수투자신탁(주식),ACE 코리아밸류업,KIM ACE Korea Value-Up ETF,2024/11/04,코리아 밸류업 지수,KRX,일반,실물(패시브),국내,주식,900000,한국투자신탁운용,50000,0.09,비과세
235,371870,ACE 차이나항셍테크,주식-업종섹터-업종테마,35.81,Hang Seng TECH Index,0.7,17470176403.0,1.11,매우높음,KR7371870007,한국투자 ACE 차이나항셍테크증권상장지수투자신탁(주식),ACE 차이나항셍테크,KIM ACE China Hang Seng TECH ETF,2020/12/16,Hang Seng TECH Index,HangSeng,일반,실물(패시브),해외,주식,2300000,한국투자신탁운용,100000,0.25,배당소득세(보유기간과세)
95,219900,ACE 중국본토CSI300레버리지(합성),주식-시장대표,7.69,CSI 300 Index,4.33,5552624228.0,0.85,매우높음,KR7219900008,한국투자 ACE 중국본토레버리지CSI300증권상장지수투자신탁(주식혼합-파생형)(합성),ACE 중국본토CSI300레버리지(합성),KIM ACE SYNTH-China Main Land Leverage CSI300 ETF,2015/05/28,CSI 300 Index,CSI,2X 레버리지,합성(패시브),해외,주식,2000000,한국투자신탁운용,100000,0.5,배당소득세(보유기간과세)
75,168580,ACE 중국본토CSI300,주식-시장대표,9.6,CSI 300 Index,3.92,104730668190.0,0.05,높음,KR7168580009,한국투자 ACE 중국본토 CSI300 증권 자상장지수투자신탁(주식-파생형),ACE 중국본토CSI300,KIM ACE China Main Land CSI300 Feeder ETF,2012/11/29,CSI 300 Index,CSI,일반,실물(패시브),해외,주식,3980000,한국투자신탁운용,20000,0.7,배당소득세(해외주식투자전용ETF)
278,416090,ACE 중국과창판STAR50,주식-시장대표,27.04,STAR 50 Index(Price Return),2.41,6553755022.0,-1.61,매우높음,KR7416090009,한국투자 ACE 중국과창판STAR50증권상장지수투자신탁(주식),ACE 중국과창판STAR50,KIM ACE China STAR50 ETF,2022/01/13,STAR 50 Index(Price Return),CSI,일반,실물(패시브),해외,주식,900000,한국투자신탁운용,100000,0.5,배당소득세(보유기간과세)
