BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20241002,451060,1Q K200액티브,10890,-160,-1.45,10893.61,10930,11010,10835,15198,166172725,127413000000,127455201923,11700000,코스피 200,340.72,-4.04,-1.17
20241002,472350,1Q 차이나H(H),14305,500,3.62,13612.94,13905,14655,13380,16049,221545400,18596500000,17696824920,1300000,Hang Seng China H,8051.39,541.60,7.21
20241002,105190,ACE 200,34650,-585,-1.66,34668.47,36850,36850,34470,9982,345726575,476437500000,476691458344,13750000,코스피 200,340.72,-4.04,-1.17
20241002,332500,ACE 200TR,22370,-375,-1.65,22363.75,22355,22610,22230,256858,5777802835,35792000000,35781996770,1600000,코스피 200 TR,437.06,-5.18,-1.17
20241002,385600,ACE 2차전지&친환경차액티브,10115,-70,-0.69,10154.69,10190,10300,9995,10946,111274970,17195500000,17262967228,1700000,FnGuide 친환경 자동차 밸류체인 지수,1454.22,-14.31,-0.97
20241002,469150,ACE AI반도체포커스,13730,-205,-1.47,13791.31,13705,14025,13520,165820,2298970500,60412000000,60681773639,4400000,FnGuide AI 반도체 포커스 지수(시장가격),1722.25,-17.29,-0.99
20241002,385590,ACE ESG액티브,7765,-55,-0.7,7727.63,7820,7820,7700,531,4117195,21742000000,21637360705,2800000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1564.53,-13.77,-0.87
20241002,380340,ACE Fn5G플러스,8865,-205,-2.26,8856.77,8860,8910,8840,123,1092020,6205500000,6199740797,700000,FnGuide 5G플러스 지수 (시장가격),1765.55,-31.78,-1.77
20241002,226380,ACE Fn성장소비주도주,5620,-85,-1.49,5610.1,5660,5665,5605,153,861245,6182000000,6171111099,1100000,FnGuide 성장소비주도 지수,1858.35,-24.58,-1.31
20241002,414270,ACE G2전기차&자율주행액티브,9675,190,2.0,9504.19,9645,9735,9485,55766,535336315,60468750000,58925947691,6250000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,250.99,-1.18,-0.47
20241002,475050,ACE KPOP포커스,6645,-30,-0.45,6659.52,6525,6715,6525,38797,256777975,20599500000,20644522449,3100000,iSelect K-POP 포커스지수(시장가격),1668.71,-2.20,-0.13
20241002,483340,ACE 구글밸류체인액티브,9125,-155,-1.67,9146.89,9285,9285,9080,31737,289652875,40606250000,40703667810,4450000,KEDI 글로벌 AI 클라우드 지수,4002.11,-51.98,-1.28
20241002,411050,ACE 글로벌메타버스테크액티브,12075,-45,-0.37,11995.55,12010,12110,11975,429,5155670,18112500000,17993319688,1500000,Bloomberg Global Digital Media & Tech Select Price Return Index,4388.11,-0.75,-0.02
20241002,446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,23110,-510,-2.16,23000.45,23200,23200,23025,79725,1840276975,425224000000,418608263146,18400000,Solactive Global Semiconductor TOP4 Plus Price Return Index,4472.52,-133.11,-2.89
20241002,435040,ACE 글로벌브랜드TOP10블룸버그,14980,-85,-0.56,14973.91,14765,15040,14765,542,8125245,13482000000,13476519169,900000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),3988.40,-89.80,-2.20
20241002,460960,ACE 글로벌인컴TOP10 SOLACTIVE,10735,55,0.51,10706.1,10720,10775,10700,26763,287182775,30594750000,30512387777,2850000,Solactive Global Superior Income TOP 10 Price Return Index,802.26,2.17,0.27
20241002,265690,ACE 러시아MSCI(합성),9445,0,0.0,46.82,0,0,0,0,0,17473250000,86622225,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
