BAS_DD,ISU_CD,ISU_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,NAV,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,INVSTASST_NETASST_TOTAMT,LIST_SHRS,IDX_IND_NM,OBJ_STKPRC_IDX,CMPPREVDD_IDX,FLUC_RT_IDX
20250502,451060,1Q K200액티브,10990,0,0.0,11004.5,10990,11035,10895,19647,215883235,118692000000,118848625702,10800000,코스피 200,338.79,0.05,0.01
20250502,0026S0,1Q 미국S&P500,9635,40,0.42,9596.16,9755,9880,9635,367717,3597569854,76116500000,74850084841,7900000,S&P 500,5686.67,117.61,2.11
20250502,0004G0,1Q 미국배당30,8980,-20,-0.22,8897.01,9090,9180,8980,8173,74680710,5388000000,5338205389,600000,Solactive U.S. Dividend 30 Index PR,4159.73,44.75,1.09
20250502,472350,1Q 차이나H(H),14840,470,3.27,14634.22,14545,14840,14545,37,541925,17808000000,17561059973,1200000,Hang Seng China H,8231.04,154.78,1.92
20250502,495330,1Q 코리아밸류업,10035,130,1.31,10031.01,9965,10045,9905,2470,24767850,24084000000,24074433638,2400000,코리아 밸류업 지수,1015.42,7.68,0.76
20250502,105190,ACE 200,34100,-15,-0.04,34163.95,34115,34260,33865,35806,1220362745,419430000000,420216604750,12300000,코스피 200,338.79,0.05,0.01
20250502,332500,ACE 200TR,22550,-20,-0.09,22576.84,22575,22650,22385,7583,170817505,38335000000,36122941373,1700000,코스피 200 TR,441.96,0.07,0.02
20250502,385600,ACE 2차전지&친환경차액티브,5820,-50,-0.85,5821.02,5875,5875,5775,9468,54904920,12222000000,12224142971,2100000,FnGuide 친환경 자동차 밸류체인 지수,1046.69,-11.50,-1.09
20250502,469150,ACE AI반도체포커스,12335,220,1.82,12313.37,12260,12345,12125,25830,316788707,37005000000,36324444145,3000000,FnGuide AI 반도체 포커스 지수(시장가격),1543.23,18.15,1.19
20250502,385590,ACE ESG액티브,7575,25,0.33,7587.75,7540,7590,7540,49,370720,18180000000,18210607735,2400000,MSCI Korea Country ESG Leaders Custom Capped Price return Index,1476.01,-1.81,-0.12
20250502,380340,ACE Fn5G플러스,8610,185,2.2,8610.37,8515,8610,8470,677,5763095,5166000000,5166220016,600000,FnGuide 5G플러스 지수 (시장가격),1722.25,24.50,1.44
20250502,226380,ACE Fn성장소비주도주,6260,50,0.81,6259.61,6215,6295,6215,2183,13657340,5634000000,5633645572,900000,FnGuide 성장소비주도 지수,2074.72,14.74,0.72
20250502,475050,ACE KPOP포커스,11100,150,1.37,11123.86,11070,11195,10970,701699,7782302728,118215000000,116244357998,10650000,iSelect K-POP 포커스지수(시장가격),2784.82,36.85,1.34
20250502,0021D0,ACE TDF2030액티브,9975,-25,-0.25,9937.54,10020,10075,9975,6146,61704385,9975000000,9937540622,1000000,Bloomberg Multi Asset Target-date 2030 KRW Index,2496.41,-7.34,-0.29
20250502,0021E0,ACE TDF2050액티브,9850,5,0.05,9796.69,9895,10005,9840,15166,150935767,11327500000,11266199187,1150000,Bloomberg Multi Asset Target-date 2050 KRW Index,2844.50,-12.67,-0.44
20250502,483340,ACE 구글밸류체인액티브,9135,170,1.9,9128.18,9185,9340,9135,62547,580568550,21010500000,20538402560,2300000,KEDI 글로벌 AI 클라우드 지수,4185.61,193.72,4.85
20250502,494340,ACE 글로벌AI맞춤형반도체,9545,215,2.3,9483.0,9605,9740,9305,12648,122024018,12885750000,12802052343,1350000,Solactive AI Custom Semiconductor Index(PR),4726.36,252.07,5.63
20250502,411050,ACE 글로벌메타버스테크액티브,12390,170,1.39,12396.9,12380,12650,12380,732,9154500,11151000000,11157206213,900000,Bloomberg Global Digital Media & Tech Select Price Return Index,4710.71,15.30,0.33
20250502,446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,22950,460,2.05,22845.16,23150,23270,22800,22140,512325759,297202500000,295844873175,12950000,Solactive Global Semiconductor TOP4 Plus Price Return Index,4166.30,98.30,2.42
20250502,435040,ACE 글로벌브랜드TOP10블룸버그,16440,-135,-0.81,16284.32,17325,17325,16440,1234,20604582,12330000000,12213239460,750000,Bloomberg Global Select Industry Leaders TOP10 Index(PR),4191.33,38.40,0.92
20250502,497510,ACE 글로벌빅파마,10020,-380,-3.65,10026.38,10400,10400,10020,2333,23684465,8016000000,8021101721,800000,Solactive Global Big Pharma Index (Price Return),1766.47,-29.02,-1.62
20250502,460960,ACE 글로벌인컴TOP10 SOLACTIVE,10560,-140,-1.31,10521.04,10700,10780,10560,30484,326035622,60192000000,59969904330,5700000,Solactive Global Superior Income TOP 10 Price Return Index,745.56,4.18,0.56
20250502,414270,ACE 글로벌자율주행액티브,10240,-160,-1.54,10227.84,10385,10490,10240,32226,334794820,66048000000,65458201173,6450000,FactSet US-China Electric&Autonomous Vehicle Price Return Index,241.18,3.90,1.64
20250502,494330,ACE 라이프자산주주가치액티브,10905,-30,-0.27,10932.45,10945,10960,10865,29899,326552919,29443500000,29517611874,2700000,FnGuide 기업가치 지수(시장가격),1610.80,1.36,0.08
20250502,265690,ACE 러시아MSCI(합성),8535,0,0.0,48.59,0,0,0,0,0,15789750000,89898717,1850000,MSCI Russia 25% Capped Price Return Index,-,-,-
20250502,152500,ACE 레버리지,6340,5,0.08,6352.43,6305,6390,6250,9676,61422315,8876000000,8893407371,1400000,코스피 200,338.79,0.05,0.01
20250502,483330,ACE 마이크로소프트밸류체인액티브,11095,245,2.26,11056.36,11895,11895,11095,62677,706916535,25518500000,23771184046,2300000,KEDI 글로벌생성형AI 지수,3885.98,184.68,4.99
20250502,291130,ACE 멕시코MSCI(합성),13910,70,0.51,14150.38,13840,14150,13840,2668,37495311,12519000000,12735344315,900000,MSCI MEXICO IMI 25/50 Price return Index,11437.59,-83.11,-0.72
20250502,480030,ACE 미국500데일리타겟커버드콜(합성),9585,120,1.27,9521.0,9655,9785,9585,125390,1218196987,151443000000,150431788124,15800000,Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index,1033.74,0.00,0.00
20250502,280320,ACE 미국IT인터넷S&P(합성 H),18815,555,3.04,18540.97,18450,18815,18450,465,8707158,15052000000,14832772926,800000,다우존스 인터넷 종합지수,1093.40,34.97,3.30
20250502,360200,ACE 미국S&P500,19895,115,0.58,19760.9,20100,20345,19895,580539,11717820773,1969605000000,1954353032760,99000000,S&P 500,5686.67,117.61,2.11
20250502,438080,ACE 미국S&P500채권혼합액티브,12630,-70,-0.55,12612.42,12845,12885,12630,234878,3009766131,357429000000,363237595830,28300000,S&P500 and Short-Term Treasury 30/70 Blend Index,188.37,1.20,0.64
20250502,309230,ACE 미국WideMoat동일가중,24625,-50,-0.2,24473.79,25415,25415,24625,23836,595569480,137900000000,137053217235,5600000,MorningStar Wide Moat Focus Index,13315.68,182.10,1.39
20250502,367380,ACE 미국나스닥100,21275,165,0.78,21214.57,21560,21795,21275,549167,11879915331,1446700000000,1442591049994,68000000,NASDAQ 100,20102.61,531.59,2.72
20250502,438100,ACE 미국나스닥100채권혼합액티브,13100,-70,-0.53,13087.53,13275,13385,13100,112100,1489370013,212220000000,213326733902,16200000,NASDAQ-100 US T-Bills 30/70 Index,1747.34,1747.34,0.00
20250502,480040,ACE 미국반도체데일리타겟커버드콜(합성),7965,20,0.25,7921.84,8030,8115,7965,95285,769006063,73278000000,72880905224,9200000,Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index,1088.38,0.00,0.00
20250502,402970,ACE 미국배당다우존스,11805,-90,-0.76,11683.88,11960,12055,11805,396467,4734876211,617401500000,611067087203,52300000,Dow Jones U.S. Dividend 100 Price Return Index,5517.56,49.05,0.90
20250502,480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),9665,240,2.55,9600.36,9495,9785,9440,135558,1316316836,166238000000,165126154311,17200000,Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index,1531.95,0.00,0.00
20250502,465580,ACE 미국빅테크TOP7 Plus,15825,255,1.64,15804.63,15880,16160,15825,403038,6449790818,645660000000,644829105174,40800000,Solactive US Big Tech Top 7 Plus Price Return Index,25759.24,991.61,4.00
20250502,465610,ACE 미국빅테크TOP7 Plus레버리지(합성),20760,780,3.9,20631.49,20750,21445,20580,53374,1129075526,87192000000,86652260396,4200000,Solactive US Big Tech Top 7 Plus Price Return Index,25759.24,991.61,4.00
20250502,465620,ACE 미국빅테크TOP7 Plus인버스(합성),10940,-200,-1.8,10952.9,11150,11150,10625,12783,137496150,2735000000,2738225054,250000,Solactive US Big Tech Top 7 Plus Price Return Index,25759.24,991.61,4.00
20250502,473590,ACE 미국주식베스트셀러,16085,-5,-0.03,16110.06,16260,16535,16085,56291,923918668,82033500000,82161296809,5100000,FnGuide 미국 주식 베스트셀러 지수(시장가격지수),8299.48,43.28,0.52
20250502,0008E0,ACE 미국중심중소형제조업,8250,170,2.1,8111.62,8305,8415,8210,5646,46969655,42900000000,73410162692,5200000,NYSE FactSet US Focus Manufacturing Index(Price Return),226.29,9.86,4.56
20250502,391600,ACE 미국친환경그린테마INDXX,8045,-240,-2.9,8109.19,8270,8270,8045,522,4262175,11665250000,11758330535,1450000,Indxx US Green Infrastructure Price return Index,2467.40,46.63,1.93
20250502,245710,ACE 베트남VN30(합성),20685,120,0.58,20132.9,20590,20710,20570,27435,566714298,223398000000,217435306061,10800000,VN30 Index(PR),1309.73,0.00,0.00
20250502,131890,ACE 삼성그룹동일가중,17150,30,0.18,17223.31,17175,17205,17110,45,772215,8575000000,6889323514,500000,MKF SAMs EW 지수,17193.85,-1.99,-0.01
20250502,108450,ACE 삼성그룹섹터가중,13520,-100,-0.73,13568.96,13535,13605,13490,20697,280295175,39208000000,39349997329,2900000,MKF SAMs SW,13534.33,-22.90,-0.17
20250502,277540,ACE 아시아TOP50S&P,16710,125,0.75,16634.75,16585,16710,16555,5067,84219097,15039000000,14971272167,900000,S&P ASIA50 Price Return Index,4774.02,123.95,2.67
20250502,483420,ACE 애플밸류체인액티브,9320,95,1.03,9291.49,9400,9520,9320,15882,150049720,10718000000,10685214666,1150000,Bloomberg Top 30 Supply Chain Plus Apple Price Return Index,2517.55,17.65,0.71
20250502,483320,ACE 엔비디아밸류체인액티브,7325,120,1.67,7347.1,7370,7505,7325,898088,6685450454,166643750000,173024094805,22750000,KEDI 글로벌AI반도체 지수,4234.43,185.41,4.58
20250502,448540,ACE 엔비디아채권혼합블룸버그,21145,325,1.56,20986.78,21005,21215,21005,44486,939537054,158587500000,157400874506,7500000,Bloomberg Blended NVIDIA Equity and Korean Bond Index,7928.08,32.36,0.41
20250502,433500,ACE 원자력테마딥서치,20880,-120,-0.57,20980.75,21395,21435,20620,61626,1296543970,27144000000,27274972459,1300000,DeepSearch 원자력테마 지수 (시장가격지수),2098.87,-9.82,-0.47
20250502,256440,ACE 인도네시아MSCI(합성),8620,100,1.17,8473.71,8520,8660,8520,21244,182128917,28446000000,27963228202,3300000,MSCI Indonesia Index,6191.03,50.95,0.83
20250502,487920,ACE 인도시장대표BIG5그룹액티브,8610,30,0.35,8606.98,8575,8740,8300,2816,24317600,10762500000,10758726223,1250000,Indxx India Big 5 Conglomerates Index (Price Return),4189.51,6.00,0.14
20250502,487910,ACE 인도컨슈머파워액티브,9310,50,0.54,9328.8,9535,9535,9200,41313,389214409,52136000000,52241276786,5600000,Indxx India Super Consumption Index (Price Return),3122.91,-24.57,-0.78
20250502,145670,ACE 인버스,5565,0,0.0,5555.88,5595,5600,5540,15019,83541290,2782500000,2777940590,500000,코스피 200 선물지수,1679.90,2.23,0.13
20250502,497520,ACE 일라이릴리밸류체인,10190,-445,-4.18,10202.3,10425,10590,10190,8020,82287867,8152000000,8161841152,800000,Solactive Eli Lilly Value Chain Index(PR),2665.28,-84.12,-3.06
20250502,238720,ACE 일본Nikkei225(H),26290,490,1.9,26071.76,26170,26460,26170,4501,118486169,21032000000,20857404476,800000,Nikkei 225,36830.69,785.31,2.18
20250502,196030,ACE 일본TOPIX레버리지(H),39660,630,1.61,39680.69,39115,40020,39115,745,29575829,19830000000,19840345213,500000,TOPIX,2687.78,20.49,0.77
20250502,205720,ACE 일본TOPIX인버스(합성 H),2405,-20,-0.82,2420.12,2460,2460,2385,58282,139955075,4810000000,4840247285,2000000,TOPIX,2687.78,20.49,0.77
20250502,469160,ACE 일본반도체,10490,-40,-0.38,10392.51,10530,10670,10490,1292,13631545,13637000000,13510266217,1300000,Bloomberg Japan Semiconductor Select Top 25 Index(Price Return),2757.56,66.48,2.47
20250502,0021C0,ACE 장기자산배분액티브,9770,15,0.15,9686.19,9825,9965,9770,35885,355970315,9770000000,9686189655,1000000,Bloomberg Multi Asset Target-date 2080 KRW Index,3160.76,-17.68,-0.56
20250502,447430,ACE 주주환원가치주액티브,13900,55,0.4,13894.94,13930,13935,13765,28388,394666080,42395000000,42379563223,3050000,FnGuide 올라운드 가치주 지수,849.81,-1.34,-0.16
20250502,416090,ACE 중국과창판STAR50,7620,-90,-1.17,7653.39,7700,7815,7605,3381,26076607,6858000000,6888053853,900000,STAR 50 Index(Price Return),1012.42,0.00,0.00
20250502,168580,ACE 중국본토CSI300,26605,-285,-1.06,26542.01,26815,27090,26415,7291,195432450,109612600000,107229729691,4120000,CSI 300 Index,3770.57,0.00,0.00
20250502,219900,ACE 중국본토CSI300레버리지(합성),2825,-15,-0.53,2775.48,2895,2895,2825,7110,20318210,5650000000,5550958594,2000000,CSI 300 Index,3770.57,0.00,0.00
20250502,371870,ACE 차이나항셍테크,8055,230,2.94,7744.69,7830,8260,7825,28535,230253014,15304500000,14714910775,1900000,Hang Seng TECH Index,5254.23,181.46,3.58
