시퀀스,종목코드,종목명,분류체계,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,표준코드,한글종목명,한글종목약명,영문종목명,상장일,기초지수명,지수산출기관,추적배수,복제방법,기초시장분류,기초자산분류,상장좌수,운용사,CU수량,총보수,과세유형
222,364690,KODEX 혁신기술테마액티브,주식-시장대표,7.4,코스피,5.03,8915310421.0,-0.36,높음,KR7364690008,삼성 KODEX 혁신기술테마액티브증권상장지수투자신탁[주식],KODEX 혁신기술테마액티브,SAMSUNG KODEX Innovative Tech Active ETF,2020/09/29,코스피,KRX,일반,실물(액티브),국내,주식,600000,삼성자산운용,100000,0.3,배당소득세(보유기간과세)
152,266420,KODEX 헬스케어,주식-업종섹터-헬스케어,15.65,KRX 헬스케어,0.35,74214041448.0,-0.31,매우높음,KR7266420009,삼성 KODEX 헬스케어증권상장지수투자신탁[주식형],KODEX 헬스케어,Samsung KODEX Healthcare ETF,2017/03/28,KRX 헬스케어,KRX,일반,실물(패시브),국내,주식,4300000,삼성자산운용,100000,0.09,비과세
316,450180,KODEX 한중전기차(합성),주식-업종섹터-업종테마,-11.78,KRX CSI 한·중 전기차지수,0.13,5067764773.0,0.88,매우높음,KR7450180005,삼성 KODEX 한중전기차증권상장지수투자신탁[주식-파생형](합성),KODEX 한중전기차(합성),SAMSUNG KODEX Korea China New Energy Vehicles ETF(SYNTH),2022/12/22,KRX CSI 한·중 전기차지수,KRX,일반,합성(패시브),국내&해외,주식,650000,삼성자산운용,50000,0.25,배당소득세(보유기간과세)
317,450190,KODEX 한중반도체(합성),주식-업종섹터-업종테마,21.4,KRX CSI 한·중 반도체지수,0.13,9351141784.0,2.08,매우높음,KR7450190004,삼성 KODEX 한중반도체증권상장지수투자신탁[주식-파생형](합성),KODEX 한중반도체(합성),SAMSUNG KODEX Korea China Semiconductor ETF(SYNTH),2022/12/22,KRX CSI 한·중 반도체지수,KRX,일반,합성(패시브),국내&해외,주식,600000,삼성자산운용,50000,0.25,배당소득세(보유기간과세)
184,298770,KODEX 한국대만IT프리미어,주식-업종섹터-정보기술,3.28,한국 대만 IT 프리미어지수,1.92,27627563492.0,-0.2,매우높음,KR7298770009,삼성 KODEX 한국대만IT프리미어증권상장지수투자신탁[주식-파생형],KODEX 한국대만IT프리미어,Samsung KODEX Korea Taiwan IT Premier ETF,2018/06/11,한국 대만 IT 프리미어지수,S&P,일반,실물(패시브),국내&해외,주식,1100000,삼성자산운용,100000,0.55,배당소득세(보유기간과세)
151,266410,KODEX 필수소비재,주식-업종섹터-생활소비재,12.2,KRX 필수소비재,1.47,13955524856.0,0.22,높음,KR7266410000,삼성 KODEX 필수소비재증권상장지수투자신탁[주식형],KODEX 필수소비재,Samsung KODEX Consumer Staples ETF,2017/03/28,KRX 필수소비재,KRX,일반,실물(패시브),국내,주식,1800000,삼성자산운용,200000,0.45,비과세
367,475080,KODEX 테슬라커버드콜채권혼합액티브,혼합자산-주식+채권,-8.78,KEDI 테슬라 인컴 프리미엄 밸런스드 지수(TR),4.06,300204897906.0,0.41,보통,KR7475080008,삼성 KODEX 테슬라커버드콜채권혼합액티브증권상장지수투자신탁[채권혼합-파생형],KODEX 테슬라커버드콜채권혼합액티브,SAMSUNG KODEX Tesla Covered Call Balanced Active ETF,2024/01/23,KEDI 테슬라 인컴 프리미엄 밸런스드 지수(TR),한국경제신문,일반,실물(액티브),국내&해외,혼합자산,35050000,삼성자산운용,50000,0.39,배당소득세(보유기간과세)
333,459560,KODEX 테슬라밸류체인FactSet,주식-업종섹터-업종테마,13.5,FactSet TSLA Value Chain Index(PR),44.45,20309097942.0,-0.37,매우높음,KR7459560009,삼성 KODEX 테슬라밸류체인FactSet증권상장지수투자신탁[주식-파생형],KODEX 테슬라밸류체인FactSet,SAMSUNG KODEX Tesla Value Chain FactSet ETF,2023/06/08,FactSet TSLA Value Chain Index(PR),FACTSET,일반,실물(패시브),해외,주식,1450000,삼성자산운용,50000,0.18,배당소득세(보유기간과세)
238,375770,KODEX 탄소효율그린뉴딜,주식-전략-전략테마,0.87,KRX/S&P 탄소효율 그린뉴딜지수,0.85,22405466075.0,-0.38,높음,KR7375770005,삼성 KODEX 탄소효율그린뉴딜증권상장지수투자신탁[주식],KODEX 탄소효율그린뉴딜,SAMSUNG KODEX Carbon Efficient Green New Deal ETF,2021/02/05,KRX/S&P 탄소효율 그린뉴딜지수,KRX,일반,실물(패시브),국내,주식,2400000,삼성자산운용,100000,0.09,비과세
127,244660,KODEX 퀄리티Plus,주식-전략-혼합/퀀트,0.56,FnGuide 퀄리티 Plus 지수,0.77,4456634340.0,-0.09,보통,KR7244660007,삼성 KODEX 퀄리티PLUS증권상장지수투자신탁[주식],KODEX 퀄리티Plus,Samsung KODEX Quality PLUS ETF,2016/05/13,FnGuide 퀄리티 Plus 지수,FnGuide,일반,실물(패시브),국내,주식,500000,삼성자산운용,100000,0.3,비과세
