ID,종목코드,구성종목명,주식수,평가금액,시가총액,시가총액기준구성비중
136,GB00B10RZP7V,(dup) UNILEVER PLC,30.20,,,
136,AU000000BHPV,(dup)BHP BILLITON LIMITED,38.20,,,
136,CA13646K108V,(dup)CANADIAN PACIFIC KANSAS CITY L,5.42,,,
136,CA36168Q1046,(dup)GFL ENVIRONMENTAL INC-SUB VT,2.50,,,
136,CH0025751329,(dup)LOGITECH INTERNATIONAL-REG,1.83,,,
136,GB00B1YW4409,3I GROUP PLC,12.62,,,
136,US88579Y1010,3M CO,7.47,,,
136,CH0012221716,ABB LTD-REG,22.12,,,
136,US0028241000,ABBOTT LABORATORIES,24.43,,,
136,US00287Y1091,ABBVIE INC,25.09,,,
