ID,종목코드,구성종목명,주식수,평가금액,시가총액,시가총액기준구성비중
108,257720,실리콘투,290.00,15022000,17922000,14.59
108,278470,에이피알,125.00,16125000,17000000,13.84
108,214450,파마리서치,24.00,12480000,12504000,10.18
108,192820,코스맥스,52.00,12324000,12454000,10.14
108,018290,브이티,261.00,11223000,11431800,9.31
108,161890,한국콜마,122.00,10980000,11236200,9.15
108,090430,아모레퍼시픽,78.00,10966800,10896600,8.87
108,051900,LG생활건강,27.00,9355500,9328500,7.60
108,241710,코스메카코리아,92.00,4765600,5069200,4.13
108,251970,펌텍코리아,62.00,3540200,3608400,2.94
54,005380,현대차,621.00,122337000,124821000,19.35
54,000270,기아,1180.00,111510000,114342000,17.72
54,012330,현대모비스,323.00,88825000,93185500,14.45
54,004020,현대제철,2392.00,73314800,73912800,11.46
54,000720,현대건설,851.00,61272000,61357100,9.51
54,086280,현대글로비스,246.00,29839800,29913600,4.64
54,267250,HD현대,217.00,26452300,27385400,4.25
54,009540,HD한국조선해양,67.00,22478500,22545500,3.49
54,064350,현대로템,100.00,16830000,17090000,2.65
54,042670,HD현대인프라코어,1092.00,11979240,11629800,1.80
66,068270,셀트리온,790.00,128138000,128138000,16.24
66,196170,알테오젠,271.00,106503000,110568000,14.01
66,207940,삼성바이오로직스,105.00,109200000,109515000,13.88
66,000100,유한양행,402.00,43134600,43094400,5.46
66,028300,HLB,773.00,40582500,41123600,5.21
66,087010,펩트론,143.00,27527500,27427400,3.48
66,214450,파마리서치,41.00,21320000,21361000,2.71
66,141080,리가켐바이오,171.00,19254600,20178000,2.56
66,298380,에이비엘바이오,220.00,17314000,17534000,2.22
66,326030,SK바이오팜,183.00,17000700,17055600,2.16
314,KRYZTRSCCM03,한중전기차 TRS(KB증권),9042357.12,9042357,,
314,KRYZTRSCCM06,한중전기차 TRS(NH투자증권),13616726.02,13616726,,
314,KRYZTRSCCM01,한중전기차 TRS(메리츠증권),6930086.23,6930086,,
314,KRYZTRSCCM02,한중전기차 TRS(미래에셋증권),9042357.12,9042357,,
314,KRYZTRSCCM04,한중전기차 TRS(삼성증권),6930086.23,6930086,,
314,KRYZTRSCCM05,한중전기차 TRS(키움증권),27127071.36,27127071,,
315,KRYZTRSCCM10,한중반도체 TRS(KB증권),21290651.81,21290651,,
