선택,펀드명,유형,설정일,설정액,설정액증감,수익률(%),수수료/총보수,펀드번호,위험등급
,하나 1Q K200액티브증권상장지수투자신탁[주식],인덱스주식코스피200,20230130,845,-241,12.70,0.18,KR7451060008,2등급
,하나 1Q 단기금융채액티브증권상장지수투자신탁[채권],초단기채권,20230802,2340,-22,0.26,0.08,KR7463290007,5등급
,하나 1Q 25-08회사채(A+이상)액티브증권상장지수투자신탁[채권],만기매칭채권,20230918,1057,0,0.25,0.10,KR7466400009,5등급
,하나 1Q 차이나H증권상장지수투자신탁[주식](H),중국주식,20231208,110,-10,6.87,0.11,KR7472350008,2등급
,하나 1Q 머니마켓액티브증권상장지수투자신탁[채권],초단기채권,20240401,8276,-1178,0.29,0.05,KR7479080004,5등급
,하나 1Q CD금리액티브증권상장지수투자신탁[채권혼합-파생형](합성),초단기채권,20240923,2743,0,0.22,0.02,KR7491610002,4등급
,하나 1Q 현대차그룹채권(A+이상)&국고통안증권상장지수투자신탁[채권],일반채권,20240930,1389,-50,0.21,0.10,KR7492500004,5등급
,하나 1Q 코리아밸류업증권상장지수투자신탁[주식],인덱스주식기타,20241101,231,0,12.21,0.02,KR7495330003,2등급
,하나 1Q 미국배당30증권상장지수투자신탁[주식],북미주식,20250117,60,0,-0.64,0.10,KR70004G0002,2등급
,하나 1Q 종합채권(AA-이상)액티브증권상장지수투자신탁[채권],일반채권,20250224,278,40,-0.75,0.03,KR70017Y0005,5등급
,하나 1Q 미국S&P500증권상장지수투자신탁[주식],북미주식,20250314,780,-10,3.24,0.01,KR70026S0002,2등급
,하나 1Q 중단기회사채(A-이상)액티브증권상장지수투자신탁[채권],일반채권,20250526,250,,,,KR70052T0008,5등급
,하나 1Q 미국S&P500미국채혼합50액티브증권상장지수투자신탁[채권혼합],해외채권혼합,20250609,170,,,,KR70052S0009,4등급
,한국투자ACE200증권상장지수투자신탁(주식),인덱스주식코스피200,20080910,2262,-28,12.62,0.09,KR7105190003,2등급
,한국투자ACE삼성그룹주SW증권상장지수투자신탁(주식),인덱스주식기타,20090123,135,5,11.17,0.15,KR7108450008,2등급
,한국투자ACE국고채증권상장지수투자신탁(채권),국공채권,20090730,123,0,-0.16,0.15,KR7114460009,5등급
,한국투자ACE삼성그룹주동일가중증권상장지수투자신탁(주식),인덱스주식기타,20100916,55,11,14.29,0.15,KR7131890006,2등급
,한국투자ACE인버스증권상장지수투자신탁(주식-파생형),리버스마켓,20110907,50,0,-11.52,0.15,KR7145670006,1등급
,한국투자ACE레버리지증권상장지수투자신탁(주식-파생형),인덱스주식기타,20120125,70,0,26.65,0.30,KR7152500005,1등급
,한국투자ACE중국본토CSI300증권자상장지수투자신탁(주식-파생형),중국주식,20121121,449,-14,-1.26,0.70,KR7168580009,2등급
,한국투자 ACE 미국부동산리츠부동산상장지수투자신탁(파생형)(합성 H),글로벌리츠재간접,20130730,60,0,0.72,0.30,KR7181480005,1등급
,한국투자ACE단기자금증권상장지수투자신탁(채권),초단기채권,20131219,1073,249,0.23,0.07,KR7190620005,6등급
,한국투자ACE일본레버리지증권상장지수투자신탁(주식-재간접파생형)(H),일본주식,20140611,50,0,3.91,0.50,KR7196030001,1등급
,한국투자ACE일본인버스증권상장지수투자신탁(주식-파생형)(합성H),리버스마켓,20140922,240,20,-2.20,0.50,KR7205720006,1등급
,한국투자ACE중국본토레버리지CSI300증권상장지수투자신탁(주식혼합-파생형)(합성),중국주식,20150520,200,0,-3.49,0.50,KR7219900008,1등급
,한국투자ACE골드선물레버리지특별자산상장지수투자신탁(금-파생형)(합성H),해외원자재,20150720,40,-10,-2.34,0.49,KR7225130004,1등급
,한국투자ACE성장소비주도주증권상장지수투자신탁(주식),인덱스주식기타,20150811,85,0,9.93,0.50,KR7226380004,2등급
,한국투자ACE일본Nikkei225증권상장지수투자신탁(주식-파생형)(H),일본주식,20160226,80,0,2.54,0.30,KR7238720007,2등급
,한국투자ACE베트남VN30증권상장지수투자신탁(주식-파생형)(합성),베트남주식,20160628,1080,0,0.42,0.70,KR7245710009,1등급
