종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
"451060","1Q K200액티브","2023/01/31","주식-시장대표","하나자산운용","6.98","코스피 200","0.92","118284710078","-0.17","높음","실물(액티브)","0.180000","배당소득세(보유기간과세)"
"0026S0","1Q 미국S&P500","2025/03/18","주식-시장대표","하나자산운용","0.00","S&P 500","0.35","76001056054","-0.05","매우높음","실물(패시브)","0.005000","배당소득세(보유기간과세)"
"0004G0","1Q 미국배당30","2025/01/21","주식-전략-배당","하나자산운용","0.00","Solactive U.S. Dividend 30 Index PR","0.47","5275201854","-0.02","매우높음","실물(패시브)","0.100000","배당소득세(보유기간과세)"
"472350","1Q 차이나H(H)","2023/12/12","주식-시장대표","하나자산운용","35.95","Hang Seng China H","1.23","17400305897","-0.43","매우높음","실물(패시브)","0.110000","배당소득세(보유기간과세)"
"495330","1Q 코리아밸류업","2024/11/04","주식-시장대표","하나자산운용","0.00","코리아 밸류업 지수","1.08","27317582524","-0.42","높음","실물(패시브)","0.020000","비과세"
"102110","TIGER 200","2008/04/03","주식-시장대표","미래에셋자산운용","4.56","코스피 200","0.78","2599844463946","-0.08","높음","실물(패시브)","0.050000","비과세"
"139260","TIGER 200 IT","2011/04/06","주식-업종섹터-정보기술","미래에셋자산운용","-19.01","코스피 200 정보기술","0.56","502634162430","0.16","매우높음","실물(패시브)","0.400000","비과세"
"139220","TIGER 200 건설","2011/04/06","주식-업종섹터-건설","미래에셋자산운용","42.64","코스피 200 건설","0.64","38061055097","0.22","매우높음","실물(패시브)","0.400000","비과세"
"139290","TIGER 200 경기소비재","2011/04/06","주식-업종섹터-경기소비재","미래에셋자산운용","-1.08","코스피 200 경기소비재","1.67","4739199958","-0.24","높음","실물(패시브)","0.400000","비과세"
"139270","TIGER 200 금융","2011/04/06","주식-업종섹터-금융","미래에셋자산운용","37.77","코스피 200 금융","1.76","19357327125","0.06","매우높음","실물(패시브)","0.400000","비과세"
"227550","TIGER 200 산업재","2015/09/23","주식-업종섹터-산업재","미래에셋자산운용","34.61","코스피 200 산업재","4.25","4672317230","-0.45","매우높음","실물(패시브)","0.400000","비과세"
"227560","TIGER 200 생활소비재","2015/09/23","주식-업종섹터-생활소비재","미래에셋자산운용","19.02","코스피 200 생활소비재","1.26","6494277431","-0.24","보통","실물(패시브)","0.400000","비과세"
"139250","TIGER 200 에너지화학","2011/04/06","주식-업종섹터-에너지화학","미래에셋자산운용","-15.33","코스피 200 에너지/화학","0.86","21750177639","-0.25","매우높음","실물(패시브)","0.340000","비과세"
"139230","TIGER 200 중공업","2011/04/06","주식-업종섹터-중공업","미래에셋자산운용","119.57","코스피 200 중공업","0.59","199112246886","-0.18","매우높음","실물(패시브)","0.340000","비과세"
"139240","TIGER 200 철강소재","2011/04/06","주식-업종섹터-철강소재","미래에셋자산운용","18.69","코스피 200 철강/소재","1.85","3963492150","-0.34","매우높음","실물(패시브)","0.340000","비과세"
"227540","TIGER 200 헬스케어","2015/09/23","주식-업종섹터-헬스케어","미래에셋자산운용","9.24","코스피 200 헬스케어","2.96","29173271223","-0.25","매우높음","실물(패시브)","0.400000","비과세"
"243880","TIGER 200IT레버리지","2016/05/13","주식-업종섹터-정보기술","미래에셋자산운용","-42.89","코스피 200 정보기술","8.03","18952975981","0.05","매우높음","실물(패시브)","0.630000","배당소득세(보유기간과세)"
"310960","TIGER 200TR","2018/11/20","주식-시장대표","미래에셋자산운용","7.09","코스피 200 TR","0.26","94001736140","-0.14","높음","실물(패시브)","0.090000","배당소득세(보유기간과세)"
"252000","TIGER 200동일가중","2016/09/20","주식-시장대표","미래에셋자산운용","15.65","코스피 200 동일가중지수","1.36","4785443372","-0.53","보통","실물(패시브)","0.210000","비과세"
"267770","TIGER 200선물레버리지","2017/04/25","주식-시장대표","미래에셋자산운용","3.35","코스피 200 선물지수","1.05","93037625664","0.12","매우높음","실물(패시브)","0.022000","배당소득세(보유기간과세)"
"252710","TIGER 200선물인버스2X","2016/09/22","주식-시장대표","미래에셋자산운용","-18.94","코스피 200 선물지수","1.11","60541349939","-0.12","매우높음","실물(패시브)","0.022000","배당소득세(보유기간과세)"
"243890","TIGER 200에너지화학레버리지","2016/05/13","주식-업종섹터-에너지화학","미래에셋자산운용","-36.44","코스피 200 에너지/화학","12.80","3149931049","-0.12","매우높음","실물(패시브)","0.690000","배당소득세(보유기간과세)"
"315270","TIGER 200커뮤니케이션서비스","2019/01/15","주식-업종섹터-커뮤니케이션서비스","미래에셋자산운용","22.25","코스피 200 커뮤니케이션서비스","0.98","6531074654","-0.39","높음","실물(패시브)","0.400000","비과세"
"289480","TIGER 200커버드콜","2018/02/09","주식-전략-구조화","미래에셋자산운용","-7.84","코스피 200 커버드콜 ATM 지수","1.16","26413703766","-0.65","보통","실물(패시브)","0.380000","배당소득세(보유기간과세)"
"166400","TIGER 200커버드콜OTM","2012/10/25","주식-전략-구조화","미래에셋자산운용","-0.56","코스피 200 커버드콜 5% OTM","0.96","6731233810","-0.39","높음","실물(패시브)","0.380000","배당소득세(보유기간과세)"
"364980","TIGER 2차전지TOP10","2020/10/07","주식-업종섹터-업종테마","미래에셋자산운용","-43.90","KRX 2차전지 TOP 10 지수","0.82","315797364574","-0.37","매우높음","실물(패시브)","0.400000","비과세"
"412570","TIGER 2차전지TOP10레버리지","2021/12/15","주식-업종섹터-업종테마","미래에셋자산운용","-75.12","KRX 2차전지 TOP 10 지수","11.65","69926185141","-0.54","매우높음","실물(패시브)","0.290000","배당소득세(보유기간과세)"
"462010","TIGER 2차전지소재Fn","2023/07/13","주식-업종섹터-업종테마","미래에셋자산운용","-53.52","FnGuide 2차전지소재 (Price Return) 지수","0.55","413606584071","-0.17","매우높음","실물(패시브)","0.390000","비과세"
"305540","TIGER 2차전지테마","2018/09/12","주식-업종섹터-업종테마","미래에셋자산운용","-46.26","WISE 2차전지 테마 지수","1.06","775298210707","-0.08","매우높음","실물(패시브)","0.440000","비과세"
"471760","TIGER AI반도체핵심공정","2023/11/21","주식-업종섹터-업종테마","미래에셋자산운용","-38.53","iSelect AI반도체핵심공정지수","0.81","77143160163","-0.24","매우높음","실물(패시브)","0.450000","비과세"
"365040","TIGER AI코리아그로스액티브","2020/09/29","주식-시장대표","미래에셋자산운용","12.08","코스피","1.87","13007663583","-0.19","높음","실물(액티브)","0.400000","배당소득세(보유기간과세)"
"364960","TIGER BBIG","2020/10/07","주식-업종섹터-업종테마","미래에셋자산운용","1.75","KRX BBIG 지수","0.41","132677159191","-0.14","높음","실물(패시브)","0.400000","비과세"
"412560","TIGER BBIG레버리지","2021/12/15","주식-업종섹터-업종테마","미래에셋자산운용","-7.40","KRX BBIG 지수","9.46","1720007838","-0.42","매우높음","실물(패시브)","0.590000","배당소득세(보유기간과세)"
"400970","TIGER Fn메타버스","2021/10/13","주식-업종섹터-업종테마","미래에셋자산운용","12.68","FnGuide 메타버스테마 지수","0.41","92797957325","-0.27","높음","실물(패시브)","0.450000","비과세"
"396500","TIGER Fn반도체TOP10","2021/08/10","주식-업종섹터-업종테마","미래에셋자산운용","-22.15","FnGuide 반도체TOP10 지수","0.54","634109954485","-0.33","매우높음","실물(패시브)","0.450000","비과세"
"377990","TIGER Fn신재생에너지","2021/03/05","주식-업종섹터-업종테마","미래에셋자산운용","20.10","FnGuide 신재생에너지 지수","0.78","30185858182","-0.17","매우높음","실물(패시브)","0.500000","비과세"
"417630","TIGER KEDI혁신기업ESG30","2022/02/08","주식-업종섹터-업종테마","미래에셋자산운용","12.34","KEDI 혁신기업ESG30 지수(시장가격 지수)","0.61","15528585567","-0.29","높음","실물(패시브)","0.500000","비과세"
"292160","TIGER KRX300","2018/03/26","주식-시장대표","미래에셋자산운용","3.39","KRX 300","0.76","9092863755","-0.22","높음","실물(패시브)","0.070000","비과세"
"404540","TIGER KRX기후변화솔루션","2021/10/29","주식-전략-전략테마","미래에셋자산운용","-6.63","KRX 기후변화 솔루션지수","0.66","6387125894","-0.59","매우높음","실물(패시브)","0.090000","비과세"
"228820","TIGER KTOP30","2015/10/14","주식-시장대표","미래에셋자산운용","-5.70","KTOP 30","0.70","6104838764","-0.49","높음","실물(패시브)","0.210000","비과세"
